지자체명,단수지역,단수사유,단수시작일시,단수시작시간,단수종료일시,단수종료시간,공사명,공사개요,작성부서,작성일,담당자,연락처
단양군,단양읍 후곡리,상수관로 공사에 따른 단수,2019-11-26,9:40,2019-11-26,16:00,후곡 하자보수,단양군 하자보수로 인한 단수(후곡리),충주권지사,2019-11-26,,
단양군,삼화동,상수관로 누수,2019-11-19,14:00,2019-11-19,15:00,누수복구,배수관로 누수,충주권지사,2019-11-18,,
단양군,장발리,상수관로 공사에 따른 단수,2019-11-07,0:00,2019-11-07,0:00,상수도관로공사,상수도관로공사,충주권지사,2019-11-07,,
단양군,어상천,시설물 고장,2019-09-02,13:00,2019-09-02,18:00,긴급단수,긴급단수,충주권지사,2019-09-02,,
단양군,매포읍 안동길,단양군 우덕교 교량확장공사 손괴사고,2019-08-15,12:30,2019-08-15,16:30,단양군 우덕교 교량확장공사,단양군 우덕교 교량확장공사,충주권지사,2019-08-15,표명준,043-420-2312
단양군,매포읍 평동 3리,계량기함 이설,2019-04-12,14:00,2019-04-12,14:30,계량기함 이설,계량기함 이설,충주권지사,2019-04-12,,
완도군,금일읍 하화전리,원관누수복구,2019-04-06,11:00,2019-04-06,16:00,원관보수작업,원관누수복구,완도수도관리단,2019-04-06,,
진도군,의신면 정지리,의신천 교량공사중 급수관로 중첩으로 인한 이설,2019-12-05,14:00,2019-12-05,17:00,의신천 정비공사,100mm 급수관로 30m 매설 후 연결작업 시행,진도수도관리단,2019-12-04,,
진도군,연주마을,연주마을 관로 누수복구,2019-11-15,0:00,2019-11-15,17:00,누수복구,연주마을 관로 누수복구,진도수도관리단,2019-11-13,,
진도군,금갑 해수욕장 입구~ 접도,금갑 해수욕장 입구 관로 간섭으로 인한 하월공사,2019-11-18,14:00,2019-11-18,17:00,관로 하월공사,금갑 해수욕장 입구 관로 간섭으로 인한 하월공사,진도수도관리단,2019-11-13,,
진도군,진도읍 염장마을,염장마을회관 앞 관로 누수복구,2019-11-14,14:00,2019-11-14,17:00,누수복구,염장마을회관 앞 관로 누수복구,진도수도관리단,2019-11-13,,
진도군,진도읍 포산마을 일원,배수로정비공사관련 하월작업으로 인한 단수,2019-08-01,0:00,2019-08-01,0:00,포산마을 배수로정비 공사,배수로정비공사관련 하월작업,진도수도관리단,2019-08-01,,
진도군,군내면 신동마을,관망정비공사 구관마감작업으로 인한 단수,2019-06-19,0:00,2019-06-19,0:00,관망정비공사,관망정비공사 구관마감작업으로 인한 단수,진도수도관리단,2019-06-19,,
진도군,보전마을,보전가압장 신설,2019-06-14,13:00,2019-06-14,17:00,가압장신설,보전가압장 신설,진도수도관리단,2019-06-11,,
진도군,군내면 신동마을 일원,관망정비공사 신관로연결,2019-05-16,14:00,2019-05-16,17:00,관망정비공사,관망정비공사 신관로연결,진도수도관리단,2019-05-15,,
진도군,진도읍 남산,전신주 공사 중 관로 파손,2019-04-27,11:00,2019-04-27,14:00,긴급복구,긴급복구,진도수도관리단,2019-04-27,,
진도군,진도읍 고막매 일원,노후밸브 교체공사,2019-04-25,14:00,2019-04-25,16:00,밸브교체공사,노후밸브 교체공사,진도수도관리단,2019-04-25,,
진도군,군내 금성,관로이탈,2019-04-22,13:00,2019-04-22,14:00,복구공사,관로이탈,진도수도관리단,2019-04-22,,
진도군,진도읍 쌍정리,소화전이설공사,2019-04-18,14:00,2019-04-18,17:00,이설공사,소화전이설공사,진도수도관리단,2019-04-16,,
진도군,의신면 신생동,소화전교체에 따른 단수,2019-04-05,9:30,2019-04-05,11:30,소화전교체,소화전교체공사,진도수도관리단,2019-04-04,,
진도군,진도읍 쌍정리길,소화전이설공사,2019-04-04,0:00,2019-04-04,0:00,소화전이설,소화전이설공사,진도수도관리단,2019-04-02,,
진도군,진도읍일원,SK공사중 관로 터짐,2019-03-21,0:00,2019-03-21,0:00,긴급관로복구공사,복구공사,진도수도관리단,2019-03-21,,
진도군,고군면 벌포마을,상수관로 밸브교체공사,2019-03-15,0:00,2019-03-15,0:00,밸브교체공사,교체공사,진도수도관리단,2019-03-15,,
진도군,지산면 독치마을,상수도관로공사,2019-02-18,0:00,2019-02-18,0:00,상수관로공사,관로공사,진도수도관리단,2019-02-18,,
진도군,군내면 대사리,군내면 대사리 하천구간 노후관 교체,2019-01-22,13:30,2019-01-22,17:30,하천구간 노후관교체,하천구간 노후관교체,진도수도관리단,2019-01-21,,
진도군,의신면 송군,송군마을 관로연결작업,2019-01-18,14:00,2019-01-18,17:00,관로연결작업,관로연결작업,진도수도관리단,2019-01-17,,
진도군,군내며 대사,하천구간 노후관 교체,2019-01-17,14:00,2019-01-17,18:00,노후관 교체공사,군내면 대사리 하천구간 노후관 교체,진도수도관리단,2019-01-16,,
청송군,주왕산면 법수길,누수복구작업,2019-12-31,13:50,2019-12-31,18:00,누수복구작업,누수복구작업,청송권지사,2019-12-31,황은경,054-870-0100
청송군,현서면 두현리,우회관로 이설공사(청송군),2019-12-24,10:00,2019-12-24,12:00,우회관로 이설공사(청송군),우회관로 이설공사(청송군),청송권지사,2019-12-23,황은경,054-870-0100
청송군,현서면 덕계리,우회관로 이설공사(청송군),2019-12-24,10:00,2019-12-24,12:00,우회관로 이설공사(청송군),우회관로 이설공사(청송군),청송권지사,2019-12-23,황은경,054-870-0100
청송군,진보면 경동로,수도관로 이설 작업,2019-12-24,9:00,2019-12-24,10:00,수도관로 이설 작업,수도관로 이설 작업,청송권지사,2019-12-23,황은경,054-870-0100
청송군,진보면 참막길,수도관로 이설 작업,2019-12-24,9:00,2019-12-24,10:00,수도관로 이설 작업,수도관로 이설 작업,청송권지사,2019-12-23,황은경,054-870-0100
청송군,현동면 인지리,상수도 관로 교체 작업,2019-12-24,14:00,2019-12-24,17:00,상수도 관로 교체 작업,상수도 관로 교체 작업,청송권지사,2019-12-23,황은경,054-870-0100
청송군,현서면 두현리,우회관로 이설공사(청송군),2019-12-20,14:00,2019-12-20,16:00,우회관로 이설공사(청송군),우회관로 이설공사(청송군),청송권지사,2019-12-19,황은경,054-870-0100
청송군,현서면 덕계리,우회관로 이설공사(청송군),2019-12-20,14:00,2019-12-20,16:00,우회관로 이설공사(청송군),우회관로 이설공사(청송군),청송권지사,2019-12-19,황은경,054-870-0100
청송군,진보 이무곡,설비 교체 작업,2019-12-19,11:30,2019-12-19,12:00,설비 교체 작업,설비 교체 작업,청송권지사,2019-12-19,황은경,054-870-0100
청송군,진보로,보호통 교체공사,2019-12-19,14:00,2019-12-19,16:00,보호통 교체공사,보호통 교체공사,청송권지사,2019-12-19,황은경,054-870-0100
청송군,진안3리,보호통 교체공사,2019-12-19,14:00,2019-12-19,16:00,보호통 교체공사,보호통 교체공사,청송권지사,2019-12-19,황은경,054-870-0100
청송군,반도타운,앵글밸브교체작업,2019-12-19,13:30,2019-12-19,14:00,앵글밸브교체작업,앵글밸브교체작업,청송권지사,2019-12-19,황은경,054-870-0100
청송군,청송읍 월막2길,앵글밸브교체작업,2019-12-19,13:30,2019-12-19,14:00,앵글밸브교체작업,앵글밸브교체작업,청송권지사,2019-12-19,황은경,054-870-0100
청송군,진보면 동천길,앵글밸브 교체작업,2019-12-17,9:40,2019-12-17,10:30,앵글밸브 교체작업,앵글밸브 교체작업,청송권지사,2019-12-17,황은경,054-870-0100
청송군,약수길,앵글밸브 교체 작업,2019-12-16,14:20,2019-12-16,15:00,앵글밸브 교체 작업,앵글밸브 교체 작업,청송권지사,2019-12-16,황은경,054-870-0100
청송군,진보면 각산리,긴급 누수 복구 작업,2019-12-12,19:00,2019-12-12,21:00,긴급 누수 복구 작업,긴급 누수 복구 작업,청송권지사,2019-12-12,황은경,054-870-0100
청송군,현동면 도평리,신규급수공사,2019-12-12,13:30,2019-12-12,16:00,신규급수공사,신규급수공사,청송권지사,2019-12-11,황은경,054-870-0100
청송군,진보면 신촌리,단계시험,2019-12-11,15:00,2019-12-11,15:30,단계시험,단계시험,청송권지사,2019-12-11,황은경,054-870-0100
청송군,진안남3길,앵글밸브 교체 작업,2019-12-11,10:00,2019-12-11,11:00,앵글밸브 교체 작업,앵글밸브 교체 작업,청송권지사,2019-12-11,황은경,054-870-0100
청송군,진안남2길,앵글밸브 교체 작업,2019-12-11,10:00,2019-12-11,11:00,앵글밸브 교체 작업,앵글밸브 교체 작업,청송권지사,2019-12-11,황은경,054-870-0100
청송군,진보로128~142,앵글밸브 교체 작업,2019-12-11,9:30,2019-12-11,11:00,앵글밸브 교체 작업,앵글밸브 교체 작업,청송권지사,2019-12-10,황은경,054-870-0100
청송군,한라아파트,내부급수공사,2019-12-10,9:30,2019-12-10,10:30,내부급수공사,내부급수공사,청송권지사,2019-12-09,황은경,054-870-0100
청송군,청송읍 부곡길,긴급 누수 복구 작업,2019-12-05,13:50,2019-12-05,15:00,긴급 누수 복구 작업,긴급 누수 복구 작업,청송권지사,2019-12-05,황은경,054-870-0100
청송군,한라아파트,앵글밸브교체,2019-12-05,10:30,2019-12-05,11:00,앵글밸브교체,앵글밸브교체,청송권지사,2019-12-05,황은경,054-870-0100
청송군,부남면 대전리,긴급 누수 복구,2019-12-03,14:30,2019-12-03,15:00,긴급 누수 복구,긴급 누수 복구,청송권지사,2019-12-03,황은경,054-870-0100
청송군,안덕면 장전리,긴급 누수 복구,2019-12-03,10:30,2019-12-03,11:30,긴급 누수 복구,긴급 누수 복구,청송권지사,2019-12-03,황은경,054-870-0100
청송군,진보면 괴정2리,가압장 증설,2019-12-03,14:00,2019-12-03,16:00,가압장 증설,가압장 증설,청송권지사,2019-12-02,황은경,054-870-0100
청송군,진보면 신촌리,가압장 증설,2019-12-03,14:00,2019-12-03,16:00,가압장 증설,가압장 증설,청송권지사,2019-12-02,황은경,054-870-0100
청송군,진보면 고현리,가압장 증설,2019-12-03,14:00,2019-12-03,16:00,가압장 증설,가압장 증설,청송권지사,2019-12-02,황은경,054-870-0100
청송군,진보로,도로 누수 복구,2019-12-02,14:00,2019-12-02,17:00,도로 누수 복구,도로 누수 복구,청송권지사,2019-12-02,황은경,054-870-0100
청송군,진보면 진안남3길,도로 누수 복구,2019-12-02,14:00,2019-12-02,17:00,도로 누수 복구,도로 누수 복구,청송권지사,2019-12-02,황은경,054-870-0100
청송군,진보면 진안남2길,도로 누수 복구,2019-12-02,14:00,2019-12-02,17:00,도로 누수 복구,도로 누수 복구,청송권지사,2019-12-02,황은경,054-870-0100
청송군,진보면 괴정2리,가압장 증설,2019-12-03,14:00,2019-12-03,16:00,가압장 증설,가압장 증설,청송권지사,2019-11-29,황은경,054-870-0100
청송군,진보면 신촌리,가압장 증설,2019-12-03,14:00,2019-12-03,16:00,가압장 증설,가압장 증설,청송권지사,2019-11-29,황은경,054-870-0100
청송군,진보면 고현리,가압장 증설,2019-12-03,14:00,2019-12-03,16:00,가압장 증설,가압장 증설,청송권지사,2019-11-29,황은경,054-870-0100
청송군,현동면 새마을로,긴급누수복구,2019-11-28,11:00,2019-11-28,11:30,긴급누수복구,긴급누수복구,청송권지사,2019-11-28,황은경,054-870-0100
청송군,현동면 부흥길,긴급누수복구,2019-11-28,11:00,2019-11-28,11:30,긴급누수복구,긴급누수복구,청송권지사,2019-11-28,황은경,054-870-0100
청송군,현동면 병보천길,긴급누수복구,2019-11-28,11:00,2019-11-28,11:30,긴급누수복구,긴급누수복구,청송권지사,2019-11-28,황은경,054-870-0100
청송군,주왕산면 신점2리,누수복구,2019-11-27,10:00,2019-11-27,11:30,누수복구,누수복구,청송권지사,2019-11-27,황은경,054-870-0100
청송군,주왕산면 신점2리,누수복구,2019-11-27,10:00,2019-11-27,11:30,누수복구,누수복구,청송권지사,2019-11-27,황은경,054-870-0100
청송군,부남면 아방실길,누수복구,2019-11-23,9:00,2019-11-23,12:00,누수복구,누수복구,청송권지사,2019-11-22,황은경,054-870-0100
청송군,부남면 감연길,누수복구,2019-11-23,9:00,2019-11-23,12:00,누수복구,누수복구,청송권지사,2019-11-22,황은경,054-870-0100
청송군,진보면 진보로,긴급누수복구,2019-11-22,9:20,2019-11-22,18:00,긴급누수복구,긴급누수복구,청송권지사,2019-11-22,황은경,054-870-0100
청송군,진보면 이촌2길,긴급누수복구,2019-11-22,9:20,2019-11-22,18:00,긴급누수복구,긴급누수복구,청송권지사,2019-11-22,황은경,054-870-0100
청송군,진보면 이촌1길,긴급누수복구,2019-11-22,9:20,2019-11-22,18:00,긴급누수복구,긴급누수복구,청송권지사,2019-11-22,황은경,054-870-0100
청송군,진보면 진성서길,긴급누수복구,2019-11-22,9:20,2019-11-22,18:00,긴급누수복구,긴급누수복구,청송권지사,2019-11-22,황은경,054-870-0100
청송군,진보면 못안길,긴급누수복구,2019-11-22,9:20,2019-11-22,18:00,긴급누수복구,긴급누수복구,청송권지사,2019-11-22,황은경,054-870-0100
청송군,진보면 진보로,앵글밸브 교체 작업,2019-11-14,15:00,2019-11-14,15:30,앵글밸브 교체 작업,앵글밸브 교체 작업,청송권지사,2019-11-14,황은경,054-870-0100
청송군,진보면 진안남,앵글밸브 교체 작업,2019-11-14,15:00,2019-11-14,15:30,앵글밸브 교체 작업,앵글밸브 교체 작업,청송권지사,2019-11-14,황은경,054-870-0100
청송군,진보면 진보로,앵글밸브 교체 작업,2019-11-14,14:30,2019-11-14,15:00,앵글밸브 교체 작업,앵글밸브 교체 작업,청송권지사,2019-11-14,황은경,054-870-0100
청송군,진보면 진안남,앵글밸브 교체 작업,2019-11-14,14:30,2019-11-14,15:00,앵글밸브 교체 작업,앵글밸브 교체 작업,청송권지사,2019-11-14,황은경,054-870-0100
청송군,진보면 동천길,누수복구작업,2019-11-12,15:00,2019-11-12,17:00,누수복구작업,누수복구작업,청송권지사,2019-11-11,황은경,054-870-0100
청송군,현서면 구산리,관로 세척 작업,2019-11-06,21:00,2019-11-07,2:00,관로 세척 작업,관로 세척 작업,청송권지사,2019-11-04,황은경,054-870-0100
청송군,현서면 두현리,관로 세척 작업,2019-11-05,21:00,2019-11-06,2:00,관로 세척 작업,관로 세척 작업,청송권지사,2019-11-04,황은경,054-870-0100
청송군,현서면 덕계리,관로 세척 작업,2019-11-05,21:00,2019-11-06,2:00,관로 세척 작업,관로 세척 작업,청송권지사,2019-11-04,황은경,054-870-0100
청송군,현서면 용당길,퇴수구 설치공사,2019-11-04,9:30,2019-11-04,11:00,퇴수구 설치공사,퇴수구 설치공사,청송권지사,2019-11-04,황은경,054-870-0100
청송군,부남면 대전리,부남면 신규급수공사,2019-10-31,15:30,2019-10-31,16:30,부남면 신규급수공사,부남면 신규급수공사,청송권지사,2019-10-31,황은경,054-870-0100
청송군,현서면 두현리,퇴수구 설치공사,2019-10-31,10:00,2019-10-31,16:00,퇴수구 설치공사,퇴수구 설치공사,청송권지사,2019-10-30,황은경,054-870-0100
청송군,청송읍 청운리,청송군 소화전 설치작업,2019-10-31,9:30,2019-10-31,11:30,청송군 소화전 설치작업,청송군 소화전 설치작업,청송권지사,2019-10-30,황은경,054-870-0100
청송군,진보면 광덕세장길,청송군 소화전 설치작업,2019-10-30,13:30,2019-10-30,14:30,청송군 소화전 설치작업,청송군 소화전 설치작업,청송권지사,2019-10-30,황은경,054-870-0700
청송군,청송읍 논시골로,논시골 가압장 설비교체,2019-10-25,14:00,2019-10-25,16:00,논시골 가압장 설비교체,논시골 가압장 설비교체,청송권지사,2019-10-24,황은경,054-870-0100
청송군,청송읍 논시길,논시골 가압장 설비교체,2019-10-25,14:00,2019-10-25,16:00,논시골 가압장 설비교체,논시골 가압장 설비교체,청송권지사,2019-10-24,황은경,054-870-0100
청송군,청송읍 망미정3길,긴급 누수복구 공사,2019-10-23,13:30,2019-10-23,15:30,긴급 누수복구 공사,긴급 누수복구 공사,청송권지사,2019-10-23,황은경,054-870-0100
청송군,주왕산면 마평로,계량기 교체공사,2019-10-22,9:30,2019-10-22,11:00,계량기 교체공사,계량기 교체공사,청송권지사,2019-10-21,황은경,054-870-0100
청송군,현서면 새터길,이토변 설치공사,2019-10-21,13:10,2019-10-21,15:00,이토변 설치공사,이토변 설치공사,청송권지사,2019-10-21,황은경,054-870-0100
청송군,현동면 인지리,유량계 설치공사,2019-10-17,10:00,2019-10-17,11:00,유량계 설치공사,유량계 설치공사,청송권지사,2019-10-17,황은경,054-870-0100
청송군,효옹빌라 아동,상수도 긴급복구,2019-10-17,9:00,2019-10-17,18:00,상수도 긴급복구,상수도 긴급복구,청송권지사,2019-10-16,황은경,054-870-0100
청송군,현서면 화목리,유량계 설치공사,2019-10-16,14:00,2019-10-16,17:00,유량계 설치공사,유량계 설치공사,청송권지사,2019-10-16,황은경,054-870-0100
청송군,안덕면 덕성리,가압장 설비교체,2019-10-16,15:00,2019-10-16,16:30,가압장 설비교체,가압장 설비교체,청송권지사,2019-10-15,황은경,054-870-0100
청송군,현서면 화목리,가압장 설비교체,2019-10-14,13:00,2019-10-14,14:30,가압장 설비교체,가압장 설비교체,청송권지사,2019-10-14,황은경,054-870-0100
청송군,현서면 화목리,가압장 설비교체,2019-10-14,14:00,2019-10-14,15:30,가압장 설비교체,가압장 설비교체,청송권지사,2019-10-14,황은경,054-870-0100
청송군,현서면 두현리,감압밸브 교체 공사,2019-10-11,9:00,2019-10-11,11:30,감압밸브 교체 공사,감압밸브 교체 공사,청송권지사,2019-10-10,황은경,054-870-0100
청송군,부남면 양숙리,유량계 설치공사,2019-10-10,20:00,2019-10-10,23:59,유량계 설치공사,유량계 설치공사,청송권지사,2019-10-10,황은경,054-870-0100
청송군,부남면 구천리,유량계 설치공사,2019-10-10,20:00,2019-10-10,23:59,유량계 설치공사,유량계 설치공사,청송권지사,2019-10-10,황은경,054-870-0100
청송군,부남면 양숙리,유량계 설치공사,2019-10-10,13:00,2019-10-10,17:00,유량계 설치공사,유량계 설치공사,청송권지사,2019-10-08,황은경,054-870-0100
청송군,부남면 구천리,유량계 설치공사,2019-10-10,13:00,2019-10-10,17:00,유량계 설치공사,유량계 설치공사,청송권지사,2019-10-08,황은경,054-870-0100
청송군,부남면 대전1길,누수복구 공사,2019-10-07,15:10,2019-10-07,18:00,누수복구 공사,누수복구 공사,청송권지사,2019-10-07,황은경,054-870-0100
청송군,부남면 대전1리,누수복구 공사,2019-10-01,14:00,2019-10-01,17:00,누수복구 공사,누수복구 공사,청송권지사,2019-09-30,황은경,054-870-0100
청송군,현서면 모계리,유량계 설치공사,2019-10-01,14:00,2019-10-01,17:00,유량계 설치공사,유량계 설치공사,청송권지사,2019-09-30,황은경,054-870-0100
청송군,현서면 천천리,유량계 설치공사,2019-10-01,9:00,2019-10-01,12:00,유량계 설치공사,유량계 설치공사,청송권지사,2019-09-30,황은경,054-870-0100
청송군,현서면 용당길,퇴수구 설치,2019-09-25,10:40,2019-09-25,12:00,퇴수구 설치,퇴수구 설치,청송권지사,2019-09-25,황은경,054-870-0100
청송군,현서면,상수관로세척공사,2019-09-20,23:00,2019-09-21,7:00,상수관로세척공사,상수관로세척공사,청송권지사,2019-09-20,황은경,054-870-0100
청송군,현서면 화목리,이토밸브설치,2019-09-20,13:30,2019-09-20,15:30,이토밸브설치,이토밸브설치,청송권지사,2019-09-20,황은경,054-870-0100
청송군,현서면,상수관로세척공사,2019-09-20,23:00,2019-09-21,7:00,상수관로세척공사,상수관로세척공사,청송권지사,2019-09-19,황은경,054-870-0100
