약수터 이름,시도,시군구,주소
잣절지하수공동시설,서울특별시,구로구,서울특별시 구로구 개봉동 2-61
잣절,서울특별시,구로구,서울특별시 구로구 개봉동 2-61
개봉3약수터,서울특별시,구로구,서울특별시 구로구 개봉동 53-3
오남,서울특별시,구로구,서울특별시 구로구 오류동 42-29
궁동,서울특별시,구로구,서울특별시 구로구 궁동 10-49
항동,서울특별시,구로구,서울특별시 구로구 항동 31-1
냉천약수터,충청북도,단양군,충청북도 단양군 단성면 장회리21-7
평동약수터,충청북도,단양군,충청북도 단양군 매포읍 103-4
각원사약수,충청남도,천안시동남구,충청남도 천안시동남구 98-83
흑성산약수,충청남도,천안시동남구,충청남도 천안시동남구 31
가남,부산광역시,부산진구,부산광역시 부산진구 가야동 10
용골,부산광역시,부산진구,부산광역시 부산진구 당감동 34
공동정호,부산광역시,부산진구,부산광역시 부산진구 범천동 44
수산대,부산광역시,동래구,부산광역시 동래구 온천동 92-2
대덕사,부산광역시,동래구,부산광역시 동래구 온천동 92-2
만수정,부산광역시,동래구,부산광역시 동래구 온천동 190-8
미타사약수터,서울특별시,구로구,서울특별시 구로구 오류동 44
만수천,서울특별시,종로구,서울특별시 종로구 옥인동 3-14
무악재,서울특별시,종로구,서울특별시 종로구 무악동 48
백사실,서울특별시,종로구,서울특별시 종로구 부암동 109-2
산림수목원,서울특별시,종로구,서울특별시 종로구 옥인동 179-1
석굴암(1),서울특별시,종로구,서울특별시 종로구 옥인동 3-14
천황지,강원도,철원군,강원도 철원군 철원읍 
망나니골,강원도,철원군,강원도 철원군 갈말읍 
금학산,강원도,철원군,강원도 철원군 동송읍 
성불사,경기도,의정부시,경기도 의정부시 가능동 81-2
사폐산,경기도,의정부시,경기도 의정부시 가능동 81-2
북한산공원세심천(우이),서울특별시,강북구,서울특별시 강북구 우이동 
북한산공원세심천(정릉),서울특별시,성북구,서울특별시 성북구 정릉동 
북한산공원신성천,서울특별시,성북구,서울특별시 성북구 정릉동 
북한산공원영비천,서울특별시,강북구,서울특별시 강북구 수유동 
북한산공원영천,서울특별시,성북구,서울특별시 성북구 정릉동 
북한산공원영추천,서울특별시,성북구,서울특별시 성북구 정릉동 
북한산공원용담수,서울특별시,강북구,서울특별시 강북구 우이동 
북한산공원용천수(수유),서울특별시,강북구,서울특별시 강북구 수유동 
북한산공원청담샘,서울특별시,종로구,서울특별시 종로구 평창동 
북한산공원청수천,서울특별시,성북구,서울특별시 성북구 정릉동 
성덕사지구,서울특별시,중랑구,서울특별시 중랑구 중화동 9-5
솔밭약수,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
송림천,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
용건,서울특별시,중랑구,서울특별시 중랑구 면목동 35-1
용마(1),서울특별시,중랑구,서울특별시 중랑구 면목동 1-2
용마산,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
용마천,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
조양천,서울특별시,중랑구,서울특별시 중랑구 면목동 1-2
태능지구,서울특별시,중랑구,서울특별시 중랑구 묵동 46-1
녹산,서울특별시,성북구,서울특별시 성북구 성북동 25-1
새북악,서울특별시,성북구,서울특별시 성북구 정릉동 87-1
정이(상),서울특별시,강북구,서울특별시 강북구 번동 17
정이샘(하),서울특별시,강북구,서울특별시 강북구 번동 17
세심천(방학),서울특별시,도봉구,서울특별시 도봉구 방학동 90-14
원당샘,서울특별시,도봉구,서울특별시 도봉구 방학동 547
광석,서울특별시,노원구,서울특별시 노원구 상계동 53
함박골약수터,부산광역시,연제구,부산광역시 연제구 연산동 180-1
얼음골약수터,부산광역시,수영구,부산광역시 수영구 망미동 114
삼성약수터,부산광역시,수영구,부산광역시 수영구 망미동 107-1
만수약수터,부산광역시,동구,부산광역시 동구 초량동 26
새구봉천약수터,부산광역시,동구,부산광역시 동구 초량동 34-1
백운사약수터,부산광역시,동구,부산광역시 동구 수정동 17
바가지샘약수터,부산광역시,동구,부산광역시 동구 수정동 37
수정4동체육공원,부산광역시,동구,부산광역시 동구 
일노정,부산광역시,북구,부산광역시 북구 만덕동 121
삼밭골,부산광역시,금정구,부산광역시 금정구 장전동 30
호국사2,부산광역시,금정구,부산광역시 금정구 장전동 30
참샘골,부산광역시,금정구,부산광역시 금정구 구서동 178
정암,부산광역시,금정구,부산광역시 금정구 구서동 4-1
물망골2,부산광역시,금정구,부산광역시 금정구 구서동 4-8
매천2,경기도,안양시동안구,경기도 안양시동안구 23-4
청심,경기도,안양시동안구,경기도 안양시동안구 131
간촌2,경기도,안양시동안구,경기도 안양시동안구 109
관상,경기도,안양시동안구,경기도 안양시동안구 114
갈산,경기도,안양시동안구,경기도 안양시동안구 1112
예술대,경기도,안산시단원구,경기도 안산시단원구 640
구봉이,경기도,안산시단원구,경기도 안산시단원구 29
용화,경기도,안산시,경기도 안산시 상록구 5-1
수암,경기도,안산시,경기도 안산시 상록구 4
공설공원,경기도,안산시단원구,경기도 안산시단원구 37-2
너구리,경기도,안산시,경기도 안산시 상록구 41-17
구갈약수터,경기도,용인시기흥구,경기도 용인시기흥구 83-7
한천,경기도,성남시분당구,경기도 성남시분당구 304-1
금당골,경기도,수원시장안구,경기도 수원시장안구 10
신금암2호,경기도,수원시장안구,경기도 수원시장안구 38
한철,경기도,수원시장안구,경기도 수원시장안구 107
한철2호,경기도,수원시장안구,경기도 수원시장안구 107
삼익,경기도,수원시장안구,경기도 수원시장안구 93-2
충의,경기도,안양시동안구,경기도 안양시동안구 118
감로수,서울특별시,금천구,서울특별시 금천구 시흥동 118
오리나무,서울특별시,금천구,서울특별시 금천구 시흥동 118
옹달샘,서울특별시,금천구,서울특별시 금천구 시흥동 83-1
잣나무,서울특별시,금천구,서울특별시 금천구 시흥동 93-1
치산,서울특별시,금천구,서울특별시 금천구 시흥동 73-1
항골,강원도,동해시,강원도 동해시 천곡동 
호암(2),서울특별시,금천구,서울특별시 금천구 시흥동 95
호천,서울특별시,금천구,서울특별시 금천구 시흥동 91-1
남서울,서울특별시,금천구,서울특별시 금천구 시흥동 6-8
만수천,서울특별시,금천구,서울특별시 금천구 독산동 8
안창,부산광역시,남구,부산광역시 남구 대연동 53-19
대연샘,부산광역시,남구,부산광역시 남구 대연동 54-56
아래솔밭,부산광역시,남구,부산광역시 남구 용당동 123-22
용당12통,부산광역시,남구,부산광역시 남구 용당동 401-1
이칠약수터,부산광역시,사상구,부산광역시 사상구 모라동 93
서당골,부산광역시,사상구,부산광역시 사상구 모라동 
탑골,부산광역시,사상구,부산광역시 사상구 괘법동 1
삼각산,부산광역시,사상구,부산광역시 사상구 괘법동 1
건강,부산광역시,사상구,부산광역시 사상구 주례동 113
백양골,부산광역시,사상구,부산광역시 사상구 주례동 113-11
백양정,부산광역시,사상구,부산광역시 사상구 주례동 8-1
승록정,부산광역시,사상구,부산광역시 사상구 주례동 69
복천,부산광역시,사상구,부산광역시 사상구 주례동 69-1
백련,부산광역시,사상구,부산광역시 사상구 엄궁동 52
인왕산,서울특별시,종로구,서울특별시 종로구 무악동 3-4
인왕천,서울특별시,종로구,서울특별시 종로구 누상동 1-29
완숙골,서울특별시,광진구,서울특별시 광진구 구의동 3-19
배봉체육회,서울특별시,동대문구,서울특별시 동대문구 휘경동 6-48
동산,서울특별시,중랑구,서울특별시 중랑구 망우동 69-1
망우천,서울특별시,중랑구,서울특별시 중랑구 망우동 57-3
면목지구,서울특별시,중랑구,서울특별시 중랑구 면목동 49-1
임록천,서울특별시,강남구,서울특별시 강남구 개포동 53-41
천의,서울특별시,강남구,서울특별시 강남구 개포동 53-30
청담,서울특별시,강남구,서울특별시 강남구 청담동 66-3
장지공원,서울특별시,송파구,서울특별시 송파구 장지동 851
고덕,서울특별시,강동구,서울특별시 강동구 고덕동 497
광능,서울특별시,강동구,서울특별시 강동구 암사동 10
둔촌,서울특별시,강동구,서울특별시 강동구 둔촌동 11-6
둔촌(1),서울특별시,강동구,서울특별시 강동구 둔촌동 153
독봉산약수터,경상남도,거제시,경상남도 거제시 고현동 340
신기산성약수터,경상남도,양산시,경상남도 양산시 신기동 20
북정약수터,경상남도,양산시,경상남도 양산시 북정동 35
백년,서울특별시,양천구,서울특별시 양천구 신월동 160-2
석산정,서울특별시,양천구,서울특별시 양천구 신월동 85-4
신정산,서울특별시,양천구,서울특별시 양천구 신정동 115-68
연희,서울특별시,양천구,서울특별시 양천구 신월동 160-2
우름바위,서울특별시,양천구,서울특별시 양천구 신정동 61-2
휘문,서울특별시,양천구,서울특별시 양천구 신월동 160-2
꿩고개,서울특별시,강서구,서울특별시 강서구 방화동 110
봉제산,서울특별시,강서구,서울특별시 강서구 화곡동 5-4
산막이약수터,충청북도,괴산군,충청북도 괴산군 칠성면 43-1
옻샘약수터,충청북도,음성군,충청북도 음성군 금왕읍 473
매산약수터,충청북도,음성군,충청북도 음성군 삼성면 72
조광약수터,부산광역시,수영구,부산광역시 수영구 광안동 35-2
북한산공원세심조기회,서울특별시,강북구,서울특별시 강북구 수유동 
양지약수터,부산광역시,수영구,부산광역시 수영구 망미동 114
얼음골(하),부산광역시,수영구,부산광역시 수영구 망미동 114
마니산,인천광역시,강화군,인천광역시 강화군 화도면 32-1
불국사,서울특별시,강남구,서울특별시 강남구 일원동 441
성지,서울특별시,강남구,서울특별시 강남구 일원동 63-48
습지원,서울특별시,강남구,서울특별시 강남구 개포동 53-42
실로암,서울특별시,강남구,서울특별시 강남구 일원동 63-51
청계산옹달샘,서울특별시,서초구,서울특별시 서초구 원지동 4-13
청계골,서울특별시,서초구,서울특별시 서초구 원지동 4-58
쌍봉,서울특별시,강남구,서울특별시 강남구 수서동 3-24
옛(1),서울특별시,강남구,서울특별시 강남구 일원동 52-1
옛(2),서울특별시,강남구,서울특별시 강남구 일원동 52-1
옥수천,서울특별시,강남구,서울특별시 강남구 개포동 53-32
용두천,서울특별시,강남구,서울특별시 강남구 개포동 192
율암,서울특별시,강남구,서울특별시 강남구 세곡동 52-44
인수천,서울특별시,강남구,서울특별시 강남구 일원동 63-1
둔촌(2),서울특별시,강동구,서울특별시 강동구 둔촌동 153
샘터,서울특별시,강동구,서울특별시 강동구 고덕동 287
동네뒷산,서울특별시,강동구,서울특별시 강동구 상일동 54-1
체육공원약수터,부산광역시,해운대구,부산광역시 해운대구 우동 1072
삼어약수터,부산광역시,해운대구,부산광역시 해운대구 반여동 300
계명,경기도,수원시장안구,경기도 수원시장안구 369
율전,경기도,수원시장안구,경기도 수원시장안구 21
구기,경기도,수원시장안구,경기도 수원시장안구 4
금바위,경기도,수원시장안구,경기도 수원시장안구 5-3
한마음,경기도,안양시만안구,경기도 안양시만안구 106
통소바위,경기도,수원시장안구,경기도 수원시장안구 23-1
절터,경기도,수원시장안구,경기도 수원시장안구 15
문암골1호,경기도,수원시장안구,경기도 수원시장안구 35
문암골3호,경기도,수원시장안구,경기도 수원시장안구 35
백년수,경기도,수원시장안구,경기도 수원시장안구 40-1
칠보,경기도,수원시권선구,경기도 수원시권선구 30-1
광이재,경기도,수원시권선구,경기도 수원시권선구 742-6
화서,경기도,수원시팔달구,경기도 수원시팔달구 79-9
숙지산,경기도,수원시팔달구,경기도 수원시팔달구 27
매봉(도곡),서울특별시,강남구,서울특별시 강남구 도곡동 31-3
못골,서울특별시,강남구,서울특별시 강남구 자곡동 39-10
율림석수,서울특별시,서초구,서울특별시 서초구 방배동 184
유점사(하),서울특별시,서초구,서울특별시 서초구 방배동 92-1
원터골(1),서울특별시,서초구,서울특별시 서초구 원지동 4-13
우심회,서울특별시,서초구,서울특별시 서초구 서초동 150-15
우면정,서울특별시,서초구,서울특별시 서초구 서초동 150-15
염곡,서울특별시,서초구,서울특별시 서초구 염곡동 3-6
어둔골,서울특별시,서초구,서울특별시 서초구 원지동 23-1
암산,서울특별시,서초구,서울특별시 서초구 양재동 10
성산,서울특별시,서초구,서울특별시 서초구 방배동 92-1
서초(하),서울특별시,서초구,서울특별시 서초구 서초동 52
서초(상),서울특별시,서초구,서울특별시 서초구 서초동 52
방배응봉,서울특별시,서초구,서울특별시 서초구 방배동 43-6
신선,경기도,수원시장안구,경기도 수원시장안구 98-1
불심,부산광역시,사상구,부산광역시 사상구 엄궁동 42
승학,부산광역시,사상구,부산광역시 사상구 엄궁동 60-3
운수사,부산광역시,사상구,부산광역시 사상구 삼락동 173
토골,강원도,동해시,강원도 동해시 천곡동 
건봉사샘터,강원도,고성군,강원도 고성군 거진읍 2
큰골샘터,강원도,고성군,강원도 고성군 죽왕면 131
모로골샘터,강원도,양양군,강원도 양양군 양양읍 
고치물샘터,강원도,양양군,강원도 양양군 양양읍 
상복리샘터,강원도,양양군,강원도 양양군 강현면 
삼화,서울특별시,관악구,서울특별시 관악구 신림동 57-13
송암,서울특별시,관악구,서울특별시 관악구 신림동 57-13
우장산,서울특별시,강서구,서울특별시 강서구 내발산동 4-5
쌍생수,서울특별시,관악구,서울특별시 관악구 신림동 56-2
안골,서울특별시,관악구,서울특별시 관악구 신림동 156-1
장수,서울특별시,관악구,서울특별시 관악구 신림동 114-3
제1약수,서울특별시,관악구,서울특별시 관악구 신림동 57-13
천지,서울특별시,관악구,서울특별시 관악구 봉천동 4-9
청룡,서울특별시,관악구,서울특별시 관악구 신림동 68-3
폭포수(1),서울특별시,관악구,서울특별시 관악구 신림동 50-21
상봉,서울특별시,관악구,서울특별시 관악구 봉천동 4-9
청룡산,서울특별시,관악구,서울특별시 관악구 봉천동 175-36
태극,서울특별시,서초구,서울특별시 서초구 양재동 11
솔티찬샘물,충청북도,괴산군,충청북도 괴산군 장연면 175-2
공설운동장,충청북도,괴산군,충청북도 괴산군 괴산읍 816-5
찬새미약수터,충청북도,괴산군,충청북도 괴산군 소수면 64-1
가늠골공동우물,대전광역시,중구,대전광역시 중구 석교동 269-19
보문,대전광역시,중구,대전광역시 중구 대사동 3-71
수정암,대전광역시,중구,대전광역시 중구 대사동 3-71
보문천,대전광역시,중구,대전광역시 중구 대사동 3-71
체육공원약수,경기도,광명시,경기도 광명시 광명동 
하안약수터1,경기도,광명시,경기도 광명시 하안동 50
하안약수터2,경기도,광명시,경기도 광명시 하안동 50
하안약수터3,경기도,광명시,경기도 광명시 하안동 50
하안약수터4,경기도,광명시,경기도 광명시 하안동 141-3
금당약수터1,경기도,광명시,경기도 광명시 하안동 991
금당약수터2,경기도,광명시,경기도 광명시 하안동 141-3
애기능약수터,경기도,광명시,경기도 광명시 141-12
참샘물약수터1,경기도,광명시,경기도 광명시 소하동 49-1
참샘물약수터2,경기도,광명시,경기도 광명시 소하동 49-1
영달말약수터,경기도,광명시,경기도 광명시 소하동 132-2
하이츠약수터,경기도,광명시,경기도 광명시 광명동 75
도덕약수터1,경기도,광명시,경기도 광명시 광명동 66-4
구름천연약수,경기도,광명시,경기도 광명시 141-11
구름산진달래,경기도,광명시,경기도 광명시 141-11
절골약수터,경기도,광명시,경기도 광명시 소하동 31
구름산새미,경기도,광명시,경기도 광명시 노온사동 
양묘장약수터,경기도,광명시,경기도 광명시 하안동 69-4
설월리약수터,경기도,광명시,경기도 광명시 소하동 58
영회원약수터,경기도,광명시,경기도 광명시 노온사동 141-11
사자골약수터,경기도,평택시,경기도 평택시 지산동 143
백운산약수터,경기도,평택시,경기도 평택시 월곡동 27
88약수,경기도,동두천시,경기도 동두천시 생연동 70
반여초교약수터,부산광역시,해운대구,부산광역시 해운대구 반여동 110-2
관음정사약수터,부산광역시,해운대구,부산광역시 해운대구 반여동 4-11
강일,서울특별시,강동구,서울특별시 강동구 강일동 8-1
남산공원남산,서울특별시,용산구,서울특별시 용산구 한남동 10-77
남산공원수복천,서울특별시,용산구,서울특별시 용산구 이태원동 1-5
남산공원나들이,서울특별시,중랑구,서울특별시 중랑구 망우동 71
북한산공원범골조기회,서울특별시,강북구,서울특별시 강북구 수유동 
북한산공원삼성암밑,서울특별시,강북구,서울특별시 강북구 수유동 
복어,부산광역시,영도구,부산광역시 영도구 동삼동 29-5
용머리,부산광역시,영도구,부산광역시 영도구 동삼동 29-5
모천,부산광역시,영도구,부산광역시 영도구 동삼동 149-1
복천사,부산광역시,영도구,부산광역시 영도구 신선동3가 6
옥계,부산광역시,부산진구,부산광역시 부산진구 초읍동 98-1
석천,부산광역시,부산진구,부산광역시 부산진구 초읍동 98-1
만수정,부산광역시,부산진구,부산광역시 부산진구 초읍동 98-1
찬물샘,부산광역시,부산진구,부산광역시 부산진구 초읍동 98-1
옥천,부산광역시,부산진구,부산광역시 부산진구 초읍동 98-1
양정,부산광역시,부산진구,부산광역시 부산진구 양정동 28
선암사,부산광역시,부산진구,부산광역시 부산진구 부암동 628
산정,부산광역시,영도구,부산광역시 영도구 신선동1가 12
뒷골,경기도,성남시중원구,경기도 성남시중원구 33
중앙공원,경기도,성남시분당구,경기도 성남시분당구 65
구룡,서울특별시,서초구,서울특별시 서초구 염곡동 2-1
개암,서울특별시,강남구,서울특별시 강남구 개포동 53-40
백만정,부산광역시,북구,부산광역시 북구 만덕동 149
만수정,부산광역시,북구,부산광역시 북구 만덕동 152-2
백수정,부산광역시,북구,부산광역시 북구 만덕동 149
대신공원팔각정,부산광역시,서구,부산광역시 서구 동대신동3가 2-2
풍년공원,충청북도,청주시흥덕구,충청북도 청주시흥덕구 1075
명심근린공원,충청북도,청주시흥덕구,충청북도 청주시흥덕구 2316
꽃재근린공원,충청북도,청주시흥덕구,충청북도 청주시흥덕구 1505
초정공원,충청북도,청주시청원구,충청북도 청주시청원구 853-11
범바위약수터,충청북도,충주시,충청북도 충주시 호암동 2
샘골약수터,충청북도,충주시,충청북도 충주시 안림동 72-4
탄금대약수터,충청북도,충주시,충청북도 충주시 칠금동 1-1
다릿재약수터,충청북도,충주시,충청북도 충주시 산척면 2-1
세계사약수터,충청북도,충주시,충청북도 충주시 수안보면 25
마즈막재약수터,충청북도,충주시,충청북도 충주시 종민동 6-1
냉수욕터,부산광역시,남구,부산광역시 남구 대연동 54-37
노원배드민턴,서울특별시,노원구,서울특별시 노원구 상계동 53
도암,서울특별시,노원구,서울특별시 노원구 상계동 84-26
동막골,서울특별시,노원구,서울특별시 노원구 상계동 155-1
두루봉,대전광역시,서구,대전광역시 서구 도마동 7
내원사,대전광역시,서구,대전광역시 서구 도마동 7-9
월평,대전광역시,서구,대전광역시 서구 월평동 36-5
서당골,대전광역시,서구,대전광역시 서구 정림동 2-1
구선천,대전광역시,서구,대전광역시 서구 도마동 27-1
쌍암,대전광역시,유성구,대전광역시 유성구 교촌동 1-5
보덕,대전광역시,유성구,대전광역시 유성구 송강동 280
왕가봉,대전광역시,유성구,대전광역시 유성구 노은동 312-11
산장산,대전광역시,유성구,대전광역시 유성구 원내동 716
화봉,대전광역시,유성구,대전광역시 유성구 전민동 369-1
계족산,대전광역시,대덕구,대전광역시 대덕구 법동 17
쌍옷샘(상),대전광역시,대덕구,대전광역시 대덕구 법동 14-1
무지개약수,경기도,동두천시,경기도 동두천시 안흥동 71
신선약수,경기도,동두천시,경기도 동두천시 안흥동 70
보은약수,경기도,동두천시,경기도 동두천시 안흥동 70
보문사약수,경기도,동두천시,경기도 동두천시 생연동 15-5
상패7통약수,경기도,동두천시,경기도 동두천시 상패동 144
만수약수,경기도,동두천시,경기도 동두천시 상패동 36
월문리약수터,충청북도,괴산군,충청북도 괴산군 청천면 34-2
오동샘,서울특별시,강북구,서울특별시 강북구 번동 16
초헌(중),서울특별시,도봉구,서울특별시 도봉구 창동 197-6
창골,서울특별시,도봉구,서울특별시 도봉구 창동 381
북한산공원산정,서울특별시,도봉구,서울특별시 도봉구 도봉동 
북한산공원쌍줄기,서울특별시,도봉구,서울특별시 도봉구 도봉동 
북한산공원제8휴식처,서울특별시,도봉구,서울특별시 도봉구 도봉동 
대도사,경기도,성남시분당구,경기도 성남시분당구 20-1
매화,경기도,성남시분당구,경기도 성남시분당구 195
무지개,경기도,성남시분당구,경기도 성남시분당구 217
입석,경기도,의정부시,경기도 의정부시 가능동 21-1
청룡,경기도,의정부시,경기도 의정부시 금오동 31-1
기념비,경기도,의정부시,경기도 의정부시 자일동 92-3
본자일,경기도,의정부시,경기도 의정부시 자일동 48-3
무지랭이,경기도,의정부시,경기도 의정부시 낙양동 38-1
어룡,경기도,의정부시,경기도 의정부시 산곡동 10-1
칠사산,경기도,광주시,경기도 광주시 송정동 10
북문,경기도,광주시,경기도 광주시 695
남문,경기도,광주시,경기도 광주시 남한산성면 산성리1098
숭열전입구,경기도,광주시,경기도 광주시 남한산성면 산성리19
양벌,경기도,광주시,경기도 광주시 오포읍 89-4
국청사,경기도,광주시,경기도 광주시 남한산성면 산성리
비봉산(남),경기도,안성시,경기도 안성시 명륜동 1-1
비봉산(여),경기도,안성시,경기도 안성시 명륜동 1-1
마골,경기도,안성시,경기도 안성시 봉남동 48
가협,경기도,안성시,경기도 안성시 금광면 82
무상사약수터,경기도,안성시,경기도 안성시 서운면 송정리301-1
일장천,경기도,하남시,경기도 하남시 학암동 24-1
새일,경기도,파주시,경기도 파주시 파평면 덕천리86
은고개,경기도,하남시,경기도 하남시 상산곡동 189
청용,경기도,시흥시,경기도 시흥시 대야동 140-6
안골,경기도,광주시,경기도 광주시 경안동 224
황고개,경기도,시흥시,경기도 시흥시 장곡동 13
목감,경기도,시흥시,경기도 시흥시 목감동 19
체육공원약수터,충청북도,충주시,충청북도 충주시 안림동 54-1
벽산아파트,충청북도,청주시흥덕구,충청북도 청주시흥덕구 762
대신공원석탑,부산광역시,서구,부산광역시 서구 동대신동3가 2-2
대신공원구이,부산광역시,서구,부산광역시 서구 동대신동3가 2-2
대신공원옥천,부산광역시,서구,부산광역시 서구 동대신동3가 2-2
신라샘2,강원도,속초시,강원도 속초시 조양동 399-1
용천약수,서울특별시,노원구,서울특별시 노원구 상계동 164-1
원터,서울특별시,노원구,서울특별시 노원구 상계동 753-2
정암샘,서울특별시,노원구,서울특별시 노원구 중계동 26
제2불암산악회,서울특별시,노원구,서울특별시 노원구 중계동 101-1
중계샘,서울특별시,노원구,서울특별시 노원구 중계동 40-5
천병샘,서울특별시,노원구,서울특별시 노원구 중계동 101-1
천보옥수회,서울특별시,노원구,서울특별시 노원구 중계동 101-1
청록회,서울특별시,노원구,서울특별시 노원구 중계동 104-1
청암샘,서울특별시,노원구,서울특별시 노원구 중계동 40-5
충숙샘,서울특별시,노원구,서울특별시 노원구 하계동 40-5
통일샘,서울특별시,노원구,서울특별시 노원구 상계동 159-1
폭포약수,서울특별시,노원구,서울특별시 노원구 상계동 159-1
벽운동천,서울특별시,노원구,서울특별시 노원구 상계동 42-1
명암,대전광역시,서구,대전광역시 서구 정림동 18-1
마지막골약수터,경상북도,문경시,경상북도 문경시 불정동 339-8
돈달약수터,경상북도,문경시,경상북도 문경시 점촌동 15-10
성림약수터,경상북도,문경시,경상북도 문경시 흥덕동 5-1
구매탄,경기도,수원시영통구,경기도 수원시영통구 899
쌍옷샘(하),대전광역시,대덕구,대전광역시 대덕구 법동 14-1
비래사,대전광역시,대덕구,대전광역시 대덕구 비래동 1-15
밭탕골,대전광역시,대덕구,대전광역시 대덕구 비래동 34-19
옷샘터,강원도,고성군,강원도 고성군 거진읍 60
천주산입구,경상남도,창원시의창구,경상남도 창원시의창구 917
태복산2,경상남도,창원시의창구,경상남도 창원시의창구 11-1
태복산3,경상남도,창원시의창구,경상남도 창원시의창구 3
사격장뒤,경상남도,창원시의창구,경상남도 창원시의창구 34
북한산공원냉골조기회,서울특별시,강북구,서울특별시 강북구 수유동 
수암계곡샘,서울특별시,노원구,서울특별시 노원구 상계동 155-1
수암샘,서울특별시,노원구,서울특별시 노원구 상계동 155-1
영원암샘,서울특별시,노원구,서울특별시 노원구 상계동 1-2
구암,서울특별시,노원구,서울특별시 노원구 상계동 1-2
보람샘,서울특별시,노원구,서울특별시 노원구 상계동 686
불암산악회,서울특별시,노원구,서울특별시 노원구 중계동 101-1
불암약수,서울특별시,노원구,서울특별시 노원구 상계동 164-9
산신제터,서울특별시,노원구,서울특별시 노원구 상계동 145-24
지경터,경상북도,영주시,경상북도 영주시 봉현면 1-1
남장사약수터,경상북도,상주시,경상북도 상주시 남장동 63-2
대전리약수터,경상북도,상주시,경상북도 상주시 외서면 194
