약수터 이름,시도,시군구,주소
현충탑약수터,강원도,원주시,강원도 원주시 태장동 124-4
보현사약수터,강원도,원주시,강원도 원주시 태장동 191
구룡골약수,강원도,원주시,강원도 원주시 태장동 19
청계,경기도,포천시,경기도 포천시 일동면 기산리23-37
각흘,경기도,포천시,경기도 포천시 영북면 운천리5
금주산,경기도,포천시,경기도 포천시 일동면 수입리483-2
능원,경기도,포천시,경기도 포천시 영중면 양문리16-1
옻우물,경기도,포천시,경기도 포천시 소흘읍 송우리641-4
삼밭골,경기도,여주시,경기도 여주시 월송동 35-1
장미,경기도,여주시,경기도 여주시 교동 4-19
황학산,경기도,여주시,경기도 여주시 능현동 26-73
신촌약수터,경상북도,청송군,경상북도 청송군 진보면 24-1
포남샘터,강원도,고성군,강원도 고성군 거진읍 55-8
작은소골샘터,강원도,고성군,강원도 고성군 거진읍 9
골안,경기도,고양시덕양구,경기도 고양시덕양구 114
국사봉,경기도,고양시덕양구,경기도 고양시덕양구 78-12
꽃마을,경기도,고양시덕양구,경기도 고양시덕양구 41-7
대궐고개,경기도,고양시덕양구,경기도 고양시덕양구 44-1
대동사,경기도,고양시덕양구,경기도 고양시덕양구 367
덕산1,경기도,고양시덕양구,경기도 고양시덕양구 14
명봉,경기도,고양시덕양구,경기도 고양시덕양구 18-1
성라공원1,경기도,고양시덕양구,경기도 고양시덕양구 69
성불사1,경기도,고양시덕양구,경기도 고양시덕양구 14
유곽골(화전),경기도,고양시덕양구,경기도 고양시덕양구 2-1
천일,경기도,고양시덕양구,경기도 고양시덕양구 16
큰골,경기도,고양시덕양구,경기도 고양시덕양구 126-7
능안골,경기도,고양시일산동구,경기도 고양시일산동구 식사동 425-3
수연,경기도,고양시일산동구,경기도 고양시일산동구 성석동 66-12
열병합,경기도,고양시일산동구,경기도 고양시일산동구 백석동 1143-1
중산마을,경기도,고양시일산동구,경기도 고양시일산동구 중산동 138-14
마두,경기도,고양시일산서구,경기도 고양시일산서구 일산동 1121
범룡골,경기도,고양시일산동구,경기도 고양시일산동구 15-13
백양사경내우물,전라남도,장성군,전라남도 장성군 북하면 
빗기촌샘,전라남도,장성군,전라남도 장성군 장성읍 872
재봉산약수터,전라남도,장성군,전라남도 장성군 장성읍 183-1
남산,경상북도,경주시,경상북도 경주시 남산동 36-1
대봉,충청북도,증평군,충청북도 증평군 증평읍 141-1
증안골,충청북도,증평군,충청북도 증평군 증평읍 55
좌구산휴양림,충청북도,증평군,충청북도 증평군 증평읍 61-1
남산골약수터,충청북도,진천군,충청북도 진천군 진천읍 67-10
보련약수터,충청북도,진천군,충청북도 진천군 진천읍 16-10
엽돈재약수터,충청북도,진천군,충청북도 진천군 백곡면 48-1
비야골약수터,충청북도,옥천군,충청북도 옥천군 군북면 286-3
고산,부산광역시,부산진구,부산광역시 부산진구 당감동 34
오행,부산광역시,부산진구,부산광역시 부산진구 당감동 34
창신,경상남도,창원시마산회원구,경상남도 창원시마산회원구 103
구미,경상남도,창원시마산회원구,경상남도 창원시마산회원구 243
두동,경상남도,창원시진해구,경상남도 창원시진해구 238-4
자은하구,경상남도,창원시진해구,경상남도 창원시진해구 1-13
도불산,경상남도,창원시진해구,경상남도 창원시진해구 18-2
오봉산,경기도,의왕시,경기도 의왕시 고천동 191-14
오매기,경기도,의왕시,경기도 의왕시 오전동 141
모락산,경기도,의왕시,경기도 의왕시 오전동 175-1
LG아파트,경기도,의왕시,경기도 의왕시 오전동 78-8
사거리,경기도,의왕시,경기도 의왕시 오전동 23-1
보수골,경기도,의왕시,경기도 의왕시 오전동 166
절터,경기도,의왕시,경기도 의왕시 오전동 51-1
덕성,경기도,의왕시,경기도 의왕시 월암동 421
내손,경기도,의왕시,경기도 의왕시 내손동 61
한직골,경기도,의왕시,경기도 의왕시 학의동 37-1
학의,경기도,의왕시,경기도 의왕시 청계동 79
곱돌광산,경기도,하남시,경기도 하남시 창우동 26-1
선법사,경기도,하남시,경기도 하남시 교산동 55
참새골,경기도,하남시,경기도 하남시 감이동 29
이장천,경기도,하남시,경기도 하남시 학암동 23
옻음물,경기도,용인시처인구,경기도 용인시처인구 79
상미약수터,경기도,용인시기흥구,경기도 용인시기흥구 57
토월,경기도,용인시수지구,경기도 용인시수지구 24
등정골,경기도,파주시,경기도 파주시 월롱면 121
국형사약수,강원도,원주시,강원도 원주시 행구동 98
밤나무골약수,강원도,원주시,강원도 원주시 봉산동 96-2
경월샘터,강원도,강릉시,강원도 강릉시 회산동 81
회산샘터,강원도,강릉시,강원도 강릉시 회산동 236
앤골,경상남도,창원시의창구,경상남도 창원시의창구 798-1
우족산,대전광역시,대덕구,대전광역시 대덕구 비래동 8-4
남도,대전광역시,대덕구,대전광역시 대덕구 비래동 8-4
순흥,서울특별시,금천구,서울특별시 금천구 시흥동 126-1
시호천,서울특별시,금천구,서울특별시 금천구 시흥동 137
능내(봉선사),경기도,남양주시,경기도 남양주시 진접읍 255
동부주택,경기도,남양주시,경기도 남양주시 진접읍 593
계전,경기도,남양주시,경기도 남양주시 화도읍 215
궁촌,경기도,남양주시,경기도 남양주시 화도읍 52-1
안골(보광사),경기도,남양주시,경기도 남양주시 화도읍 419
윗용정,경기도,남양주시,경기도 남양주시 진건읍 122-4
봉인,경기도,남양주시,경기도 남양주시 진건읍 304
용정,경기도,남양주시,경기도 남양주시 진건읍 155
극동,경기도,남양주시,경기도 남양주시 오남읍 16-5
석수,경기도,남양주시,경기도 남양주시 별내면 13
석고개,경기도,남양주시,경기도 남양주시 수동면 2-1
남양,경기도,남양주시,경기도 남양주시 호평동 73-1
백봉산,경기도,남양주시,경기도 남양주시 평내동 118
청수대,경기도,남양주시,경기도 남양주시 평내동 82
무대,경기도,남양주시,경기도 남양주시 금곡동 126-1
양골,경기도,남양주시,경기도 남양주시 금곡동 194-1
황골,경기도,남양주시,경기도 남양주시 지금동 103
가운,경기도,남양주시,경기도 남양주시 지금동 607-85
안산,경기도,남양주시,경기도 남양주시 지금동 607-86
절골,경기도,오산시,경기도 오산시 원동 8-1
원당,경기도,오산시,경기도 오산시 원동 20-1
박동,경기도,오산시,경기도 오산시 수청동 41
벌음,경기도,오산시,경기도 오산시 벌음동 38
은계,경기도,오산시,경기도 오산시 은계동 50-3
연주샘,경기도,과천시,경기도 과천시 중앙동 12-1
등산로(상),경기도,과천시,경기도 과천시 중앙동 11
등산로(하),경기도,과천시,경기도 과천시 중앙동 11
물애비,경기도,과천시,경기도 과천시 과천동 79-2
"5,6호약수터",경기도,과천시,경기도 과천시 문원동 46-5
사그막골(1),경기도,과천시,경기도 과천시 문원동 58-9
사그막골(2),경기도,과천시,경기도 과천시 문원동 58-10
매봉(1),경기도,과천시,경기도 과천시 문원동 58-2
매봉(2),경기도,과천시,경기도 과천시 문원동 58-2
유왕공약수,충청남도,천안시동남구,충청남도 천안시동남구 
구성약수,충청남도,천안시동남구,충청남도 천안시동남구 44-1
홍샘약수,충청남도,천안시동남구,충청남도 천안시동남구 31-3
만리산약수터,부산광역시,동구,부산광역시 동구 범일동 65-121
조기약수터,부산광역시,동구,부산광역시 동구 수정동 65-121
감나무골약수터,부산광역시,동구,부산광역시 동구 수정동 23
청조약수터,부산광역시,동구,부산광역시 동구 수정동 37
장수샘터,강원도,인제군,강원도 인제군 북면 
필례약수,강원도,인제군,강원도 인제군 인제읍 
방동약수,강원도,인제군,강원도 인제군 기린면 
남전약수,강원도,인제군,강원도 인제군 남면 62-2
수성샘터,강원도,고성군,강원도 고성군 간성읍 15
토골샘터,강원도,고성군,강원도 고성군 간성읍 23
옥수,부산광역시,부산진구,부산광역시 부산진구 당감동 34
옥세정,부산광역시,부산진구,부산광역시 부산진구 전포동 2-1
솔밭,강원도,철원군,강원도 철원군 동송읍 
장안사,강원도,철원군,강원도 철원군 서면 
일광사,강원도,철원군,강원도 철원군 서면 
구변,강원도,철원군,강원도 철원군 서면 
토미골,강원도,철원군,강원도 철원군 근남면 
유곡리,강원도,철원군,강원도 철원군 근북면 
동산샘터,강원도,화천군,강원도 화천군 화천읍 95
망태골샘터,강원도,화천군,강원도 화천군 간동면 
밤골샘터,강원도,화천군,강원도 화천군 상서면 98-26
용담샘터,강원도,화천군,강원도 화천군 사내면 433
화악샘터,강원도,화천군,강원도 화천군 사내면 
사색약수터,경기도,수원시영통구,경기도 수원시영통구 이의동 107-4
광교중앙약수터,경기도,수원시영통구,경기도 수원시영통구 이의동 127-8
선강(천),부산광역시,북구,부산광역시 북구 구포동 42-1
시청,경기도,파주시,경기도 파주시 아동동 215
감사교육원,경기도,파주시,경기도 파주시 광탄면 139-14
저전6통,전라남도,순천시,전라남도 순천시 저전동 299-2
저전7통,전라남도,순천시,전라남도 순천시 저전동 311-1
한마음,경기도,수원시장안구,경기도 수원시장안구 6
수성,경기도,수원시권선구,경기도 수원시권선구 1-5
팔달,경기도,수원시팔달구,경기도 수원시팔달구 1-1
효원,경기도,수원시팔달구,경기도 수원시팔달구 1-1
필봉,경기도,오산시,경기도 오산시 내삼미동 15-1
감투봉,경기도,오산시,경기도 오산시 서동 10-1
수목원,경기도,오산시,경기도 오산시 금암동 
계란마을,경기도,시흥시,경기도 시흥시 신천동 13
관음사약수터,충청남도,홍성군,충청남도 홍성군 광천읍 335-1
옻샘약수터,충청남도,예산군,충청남도 예산군 예산읍 15-3
불로,인천광역시,남동구,인천광역시 남동구 만수동 2-2
"감로천1,2",인천광역시,남동구,인천광역시 남동구 만수동 1-4
우장초등학교뒤,서울특별시,강서구,서울특별시 강서구 화곡동 984-12
불로천,서울특별시,금천구,서울특별시 금천구 시흥동 6-7
산복,서울특별시,금천구,서울특별시 금천구 시흥동 75
삼정,서울특별시,금천구,서울특별시 금천구 시흥동 118
서대신동공동우물,부산광역시,서구,부산광역시 서구 서대신동3가 7-3
해맞이봉샘터,강원도,고성군,강원도 고성군 거진읍 1
행랑골샘터,강원도,고성군,강원도 고성군 거진읍 64-1
약수암샘터,강원도,고성군,강원도 고성군 거진읍 235-4
수정샘약수터,부산광역시,동구,부산광역시 동구 초량동 29
보덕포약수터,부산광역시,사하구,부산광역시 사하구 장림동 96-1
천마산약수터,부산광역시,사하구,부산광역시 사하구 감천동 13
김종수,부산광역시,사하구,부산광역시 사하구 감천동 6-1723
수박골,부산광역시,금정구,부산광역시 금정구 금성동 69
극동,경기도,양주시,경기도 양주시 덕계동 64
과골,경기도,양주시,경기도 양주시 회정동 44-3
탑동,경기도,양주시,경기도 양주시 회정동 33-1
야촌(위),경기도,양주시,경기도 양주시 삼숭동 123
야촌(아래),경기도,양주시,경기도 양주시 삼숭동 123
백화암,경기도,양주시,경기도 양주시 유양동 40
작은산대,경기도,양주시,경기도 양주시 산북동 53-10
천보산,경기도,양주시,경기도 양주시 광사동 140-3
홍복,경기도,양주시,경기도 양주시 백석읍 15-1
송산,경기도,양주시,경기도 양주시 백석읍 5-1
은봉산,경기도,양주시,경기도 양주시 백석읍 198-1
대신공원민속관,부산광역시,서구,부산광역시 서구 동대신동3가 2-2
한재샘터,강원도,양양군,강원도 양양군 현북면 
수리산,경기도,안양시만안구,경기도 안양시만안구 97-3
교평약수터,충청북도,옥천군,충청북도 옥천군 청산면 367
가리약수터,충청북도,영동군,충청북도 영동군 영동읍 심원리88-4
자은,경상남도,창원시진해구,경상남도 창원시진해구 1-3
시루,경상남도,창원시진해구,경상남도 창원시진해구 1-1
자은본동,경상남도,창원시진해구,경상남도 창원시진해구 1-1
안정사,경상남도,통영시,경상남도 통영시 광도면 1888
미륵등,경상남도,통영시,경상남도 통영시 산양읍 202-1
약천,경상남도,통영시,경상남도 통영시 미수동 65-2
원당골,경상남도,통영시,경상남도 통영시 미수동 186-2
선금산,경상남도,통영시,경상남도 통영시 미수동 62
각산,경상남도,사천시,경상남도 사천시 동동 1
대방,경상남도,사천시,경상남도 사천시 대방동 2
계양,경상남도,사천시,경상남도 사천시 사남면 18
산성,경상남도,사천시,경상남도 사천시 사천읍 580-2
봉으리,경기도,성남시중원구,경기도 성남시중원구 18-3
용터약수터,충청북도,제천시,충청북도 제천시 모산동 15-7
하소약수터,충청북도,제천시,충청북도 제천시 하소동 17-3
등너머약수터,충청북도,제천시,충청북도 제천시 천남동 200
몽암사약수터,충청북도,제천시,충청북도 제천시 강제동 668-1
사찰약수터,충청북도,제천시,충청북도 제천시 모산동 25
피재골약수터,충청북도,제천시,충청북도 제천시 모산동 2-1
포전약수터,충청북도,제천시,충청북도 제천시 송학면 81-2
구룡약수터,충청북도,제천시,충청북도 제천시 금성면 성내리432-1
청석굴공동우물,충청북도,청주시상당구,충청북도 청주시상당구 22
제2금강산,경상남도,창원시마산회원구,경상남도 창원시마산회원구 152-1
영산법화사,경기도,의정부시,경기도 의정부시 호원동 92-15
보리고개,경기도,남양주시,경기도 남양주시 와부읍 54
대궐터(봉영사),경기도,남양주시,경기도 남양주시 진접읍 323
전동,경기도,남양주시,경기도 남양주시 진접읍 203-6
새무골,경기도,의정부시,경기도 의정부시 금오동 14
안산,대전광역시,대덕구,대전광역시 대덕구 법동 284-2
구봉,대전광역시,대덕구,대전광역시 대덕구 중리동 388-17
남부민소방도로공동우물,부산광역시,서구,부산광역시 서구 남부민동 428-79
문현,부산광역시,남구,부산광역시 남구 문현동 7
중앙늘샘쉽터②,부산광역시,남구,부산광역시 남구 대연동 54-36
소요산일주문,경기도,동두천시,경기도 동두천시 상봉암동 1
소요산광장,경기도,동두천시,경기도 동두천시 상봉암동 1
생골약수,경기도,동두천시,경기도 동두천시 생연동 70
시민약수,경기도,동두천시,경기도 동두천시 생연동 70
옥녀봉약수,경기도,동두천시,경기도 동두천시 상패동 77-1
동암약수,경기도,동두천시,경기도 동두천시 보산동 13-1
창말약수,경기도,동두천시,경기도 동두천시 동두천동 8
사리,경기도,안산시,경기도 안산시 상록구 179
장수탑약수터,부산광역시,사하구,부산광역시 사하구 괴정동 174
돌샘약수터,부산광역시,사하구,부산광역시 사하구 괴정동 1-1
한샘약수터,부산광역시,사하구,부산광역시 사하구 괴정동 1-1
마우골약수터,부산광역시,사하구,부산광역시 사하구 괴정동 173
삿갓봉,서울특별시,노원구,서울특별시 노원구 중계동 356
사문안골,강원도,철원군,강원도 철원군 동송읍 
초록공원약수터,부산광역시,해운대구,부산광역시 해운대구 반여동 110-2
장산약수터,부산광역시,해운대구,부산광역시 해운대구 반송동 51
장천사약수터,부산광역시,해운대구,부산광역시 해운대구 반송동 51-120
체육공원내약수터,부산광역시,해운대구,부산광역시 해운대구 재송동 69
옥천사약수터,부산광역시,해운대구,부산광역시 해운대구 재송동 74-2
고씨제당약수터,부산광역시,해운대구,부산광역시 해운대구 재송동 51-1
반석약수터,부산광역시,해운대구,부산광역시 해운대구 석대동 15
장산제일약수터,부산광역시,해운대구,부산광역시 해운대구 재송동 31
장산산림욕장약수터,부산광역시,해운대구,부산광역시 해운대구 우동 148-1
초록공원위약수터,부산광역시,해운대구,부산광역시 해운대구 반여동 110-2
한우물,경기도,이천시,경기도 이천시 장호원읍 4
물명당,경기도,이천시,경기도 이천시 부발읍 죽당리24
향교,경기도,이천시,경기도 이천시 창전동 40-1
신송,경기도,이천시,경기도 이천시 송정동 79-1
구암,경기도,이천시,경기도 이천시 관고동 67-3
춘덕약수터,경기도,부천시,경기도 부천시 원미동 21
대암산1,경상남도,창원시성산구,경상남도 창원시성산구 101
불곡사,경상남도,창원시성산구,경상남도 창원시성산구 6-3
성주사,경상남도,창원시성산구,경상남도 창원시성산구 213-14
갈미봉,경상남도,창원시성산구,경상남도 창원시성산구 23
밭터,경상남도,창원시마산합포구,경상남도 창원시마산합포구 88-1
수발사,경상남도,창원시마산합포구,경상남도 창원시마산합포구 145
무곡탑(상),경상남도,창원시마산합포구,경상남도 창원시마산합포구 98-63
자산,경상남도,창원시마산합포구,경상남도 창원시마산합포구 25-11
장산,부산광역시,남구,부산광역시 남구 용호동 101
장군묘,부산광역시,남구,부산광역시 남구 용호동 113-2
장자산,부산광역시,남구,부산광역시 남구 용호동 30-1
이기대큰고개,부산광역시,남구,부산광역시 남구 용호동 138-1
이기대,부산광역시,남구,부산광역시 남구 용호동 29
벽산,부산광역시,북구,부산광역시 북구 구포동 1245
백양산동네체육공원,부산광역시,북구,부산광역시 북구 구포동 48-135
백천,부산광역시,북구,부산광역시 북구 구포동 3-1
문원약수터,경기도,과천시,경기도 과천시 문원동 15
무당바위,경기도,과천시,경기도 과천시 문원동 10
정수암,부산광역시,사하구,부산광역시 사하구 괴정동 1063-9
옹달샘약수터,부산광역시,사하구,부산광역시 사하구 괴정동 93-1
승학약수터,부산광역시,사하구,부산광역시 사하구 당리동 34
정각사약수터,부산광역시,사하구,부산광역시 사하구 당리동 45-1
몰운대약수터,부산광역시,사하구,부산광역시 사하구 다대동 144
낫개약수터,부산광역시,사하구,부산광역시 사하구 다대동 1-16
남보살,대전광역시,중구,대전광역시 중구 사정동 2-1
까치재,대전광역시,중구,대전광역시 중구 사정동 198-2
상당,대전광역시,중구,대전광역시 중구 사정동 48-1
냉천골샘터,강원도,양구군,강원도 양구군 양구읍 죽곡리
대암샘터,강원도,양구군,강원도 양구군 해안면 
갯골샘터,강원도,인제군,강원도 인제군 인제읍 
다랑벼루샘터,강원도,인제군,강원도 인제군 인제읍 45-1
금강1,부산광역시,동래구,부산광역시 동래구 온천동 190-7
금강2,부산광역시,동래구,부산광역시 동래구 온천동 190-9
쇠미,부산광역시,동래구,부산광역시 동래구 사직동 81-7
호암,경기도,이천시,경기도 이천시 관고동 63-1
천경대,경기도,이천시,경기도 이천시 관고동 67-3
초암,경기도,이천시,경기도 이천시 관고동 173
청구,경기도,이천시,경기도 이천시 관고동 67-3
오미,경기도,이천시,경기도 이천시 관고동 67-3
나막골,경기도,이천시,경기도 이천시 관고동 67-3
도불천,경상남도,창원시진해구,경상남도 창원시진해구 52-3
관악천,경기도,안양시만안구,경기도 안양시만안구 16-1
수리천,경기도,안양시만안구,경기도 안양시만안구 127-1
봉수정,경기도,안양시만안구,경기도 안양시만안구 133-6
팔팔,경기도,안양시만안구,경기도 안양시만안구 81-3
신안,경기도,안양시만안구,경기도 안양시만안구 94
석천,경기도,안양시만안구,경기도 안양시만안구 162-2
신촌,경기도,안양시만안구,경기도 안양시만안구 137-1
송림1,경기도,안양시만안구,경기도 안양시만안구 120
냉천,경기도,안양시만안구,경기도 안양시만안구 590-91
만안,경기도,안양시만안구,경기도 안양시만안구 123-1
설천2,경기도,안양시동안구,경기도 안양시동안구 22
간촌3,경기도,안양시동안구,경기도 안양시동안구 109
간촌4,경기도,안양시동안구,경기도 안양시동안구 109
월외우물,충청북도,옥천군,충청북도 옥천군 안내면 421-2
가산사우물,충청북도,옥천군,충청북도 옥천군 안내면 543
무학산기도원,경상남도,창원시마산합포구,경상남도 창원시마산합포구 492
등나무산장,경상남도,창원시마산합포구,경상남도 창원시마산합포구 494
선강(하),부산광역시,북구,부산광역시 북구 구포동 42-1
만날제,경상남도,창원시마산합포구,경상남도 창원시마산합포구 695
봉화,경상남도,창원시마산회원구,경상남도 창원시마산회원구 31-1
한천,경기도,수원시장안구,경기도 수원시장안구 3-1
삼정,부산광역시,북구,부산광역시 북구 만덕동 843
병풍사,부산광역시,북구,부산광역시 북구 만덕동 77-1
천룡사,부산광역시,북구,부산광역시 북구 만덕동 2
만수천,부산광역시,북구,부산광역시 북구 만덕동 3
상학산,부산광역시,북구,부산광역시 북구 만덕동 261
아렛배랭이,경기도,과천시,경기도 과천시 문원동 182
삼포약수터,경기도,과천시,경기도 과천시 주암동 92-1
형제,경기도,구리시,경기도 구리시 교문동 89-1
엄마,경기도,구리시,경기도 구리시 교문동 75-1
강신,경기도,구리시,경기도 구리시 아천동 49-1
동락천,경기도,구리시,경기도 구리시 교문동 83
동화천,경기도,구리시,경기도 구리시 교문동 148
옻샘,충청북도,청주시청원구,충청북도 청주시청원구 7-4
고씨우물,충청북도,청주시상당구,충청북도 청주시상당구 49
광덕사,충청북도,청주시상당구,충청북도 청주시상당구 120-1
우암산등산로2,충청북도,청주시상당구,충청북도 청주시상당구 2-1
어린이회관등산로,충청북도,청주시상당구,충청북도 청주시상당구 63
산성등산로1,충청북도,청주시상당구,충청북도 청주시상당구 111
보성아파트,충청북도,청주시청원구,충청북도 청주시청원구 231-4
용호사,충청북도,청주시상당구,충청북도 청주시상당구 114-4
보살사,충청북도,청주시상당구,충청북도 청주시상당구 40-11
산성등산로2,충청북도,청주시상당구,충청북도 청주시상당구 4-1
우암산등산로1,충청북도,청주시상당구,충청북도 청주시상당구 2
금병,부산광역시,동래구,부산광역시 동래구 사직동 12-5
쌍암,부산광역시,동래구,부산광역시 동래구 사직동 12-4
사적공원,부산광역시,동래구,부산광역시 동래구 명장동 94-3
체육공원,부산광역시,남구,부산광역시 남구 문현동 7
대보천,대전광역시,중구,대전광역시 중구 대사동 3-71
보문석천,대전광역시,중구,대전광역시 중구 대사동 3-71
상봉,대전광역시,중구,대전광역시 중구 대사동 3-71
덕의봉약수터,충청북도,옥천군,충청북도 옥천군 청산면 7
너덜겅,광주광역시,동구,광주광역시 동구 운림동 132-1
구)증심사관리소,광주광역시,동구,광주광역시 동구 운림동 92-1
대각사,광주광역시,남구,광주광역시 남구 봉선동 587
산장광장,광주광역시,북구,광주광역시 북구 금곡동 800
청풍쉼터,광주광역시,북구,광주광역시 북구 청풍동 200
충장사,광주광역시,북구,광주광역시 북구 금곡동 1023
용진약수터,광주광역시,광산구,광주광역시 광산구 왕동 4-1
산정약수터,광주광역시,광산구,광주광역시 광산구 산정동 53
용천,대전광역시,동구,대전광역시 동구 용운동 299-1
용수골,대전광역시,동구,대전광역시 동구 용운동 74-6
옥정사,대전광역시,동구,대전광역시 동구 가양동 3-16
옻샘,대전광역시,동구,대전광역시 동구 판암동 24
지푸재,대전광역시,동구,대전광역시 동구 대별동 10
모암,대전광역시,동구,대전광역시 동구 이사동 7-1
향교,강원도,철원군,강원도 철원군 철원읍 
하리1,부산광역시,북구,부산광역시 북구 만덕동 251
도개공,부산광역시,북구,부산광역시 북구 덕천동 814-1
수정,부산광역시,북구,부산광역시 북구 덕천동 19
금곡,부산광역시,북구,부산광역시 북구 금곡동 80
상봉재,충청북도,청주시상당구,충청북도 청주시상당구 390
산성등산로3,충청북도,청주시상당구,충청북도 청주시상당구 
단병,강원도,동해시,강원도 동해시 망상동 3
국민주택,강원도,동해시,강원도 동해시 망상동 
명수천,대전광역시,중구,대전광역시 중구 부사동 2-13
송학사,대전광역시,중구,대전광역시 중구 문화동 18-1
고촉사,대전광역시,중구,대전광역시 중구 문화동 18-1
삼어체육시설옆약수터,부산광역시,해운대구,부산광역시 해운대구 반여동 300
장수천약수터,부산광역시,사하구,부산광역시 사하구 괴정동 174
싸리골약수터,부산광역시,사하구,부산광역시 사하구 괴정동 1-47
체육공원약수터,충청북도,음성군,충청북도 음성군 감곡면 29-7
보현산옹달샘,충청북도,음성군,충청북도 음성군 음성읍 173-12
별산댕이옹달샘,충청북도,음성군,충청북도 음성군 금왕읍 449
자라바위약수터,충청북도,음성군,충청북도 음성군 원남면 2-2
기촌약수터,충청북도,단양군,충청북도 단양군 단양읍 355-1
홍심,서울특별시,서대문구,서울특별시 서대문구 홍제동 1-100
홍연,서울특별시,서대문구,서울특별시 서대문구 홍은동 19-2
홍인,서울특별시,서대문구,서울특별시 서대문구 홍제동 1-1
홍제천,서울특별시,서대문구,서울특별시 서대문구 홍제동 33-44
성미,서울특별시,마포구,서울특별시 마포구 성산동 11-58
다락골,서울특별시,양천구,서울특별시 양천구 신정동 37-84
달거리,서울특별시,양천구,서울특별시 양천구 목동 7-3
매봉,서울특별시,양천구,서울특별시 양천구 신정동 140-3
경운사(상),경상남도,김해시,경상남도 김해시 외동 47
경운사(하),경상남도,김해시,경상남도 김해시 외동 824
물망골,경상남도,김해시,경상남도 김해시 구산동 638
광장,경상남도,김해시,경상남도 김해시 삼방동 120-1
남재골,경상남도,김해시,경상남도 김해시 동상동 1-2
절물,제주특별자치도,제주시,제주특별자치도 제주시 봉개동 78-1
사제비물,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 183
노루샘,제주특별자치도,서귀포시,제주특별자치도 서귀포시 하원동 1
영실물,제주특별자치도,서귀포시,제주특별자치도 서귀포시 하원동 
