,wlobscd,agcnm,obsnm,addr,etcaddr,lon,lat,gdt,attwl,wrnwl,almwl,srswl,pfh,fstnyn,links
174,1014630,환경부,홍천군(주음치교),강원도 홍천군,화촌면 주음치리 주음치교,127-59-00,37-47-04 ,152.147,3,4,5,6.3,6.25,N,[]
175,1014635,한국수력원자력,홍천강(성포교),강원도 홍천군,화촌면 성산리,127-58-27,37-45-48 , , , , , , ,N,[]
176,1014640,환경부,홍천군(굴운교),강원도 홍천군,화촌면 굴운리 굴운교,127-56-29,37-44-19 ,131.685,3.5,4.5,6,7.3,7.26,N,[]
177,1014648,한국수력원자력,홍천강(남산교),강원도 홍천군,홍천읍 희망리,127-53-23,37-41-10 , , , , , , ,N,[]
178,1014650,환경부,홍천군(홍천교),강원도 홍천군,홍천읍 연봉리 홍천교,127-52-44,37-41-14 ,119.731,2,4,5,6.5,6.52,Y,[]
179,1014665,환경부,홍천군(남노일대교),강원도 홍천군 남면,남노일리 남노일대교,127-46-14,37-40-31 ,89.282,5.5,6.5,8,9.3,9.34,N,[]
180,1014680,환경부,홍천군(반곡교),강원도 홍천군,서면 반곡리 반곡교,127-40-14,37-41-37 ,68.288,3,4,5,6,5.96,N,[]
181,1014695,한국수력원자력,한덕교,강원도 홍천군,서면 모곡리,127-36-48,37-40-20 , , , , , , ,N,[]
182,1014696,환경부,홍천군(모곡교),강원도 홍천군,서면 모곡리 모곡교,127-36-18,37-40-19 ,58.438,3.4, , , , ,N,[]
183,1015630,한국수력원자력,산장제1교,경기도 가평군,상면 덕현리,127-24-37,37-45-18 ,58.96, , , , , ,N,[]
184,1015639,한국수력원자력,청평댐,경기도 가평군,설악면 유명로 2630,127-25-28,37-43-15 , , , , , , ,N,[]
185,1015640,환경부,가평군(청평댐),경기도 가평군,설악면 회곡리 745-27,127-25-23,37-43-24 ,.67, , , , ,51.33,N,[]
186,1015644,환경부,가평군(청평교),경기도 가평군,청평면 청평리 청평교,127-24-52,37-44-03 ,31.222,2,4.5,5.5,8.6,8.59,N,[]
187,1015645,환경부,가평군(신청평대교),경기도 가평군,청평면 삼회리 산90 신청평대교,127-24-37,37-43-05 ,22.612,5,10,12.5,15.5,15.46,N,[]
188,1015680,환경부,남양주시(삼봉리),경기도 남양주시,조안면 삼봉리 235-1,127-20-21,37-35-43 ,24.422,1.6,4.5,6,7.2,7.25,N,[]
189,1016607,환경부,용인시(월촌교),경기도 용인시,처인구 모현면 갈담리 월촌교,127-14-22,37-19-57 ,49.553,1.5,4.5,5,6.7,6.71,N,[]
190,1016650,환경부,광주시(경안교),경기도 광주시,쌍령동 경안교,127-15-47,37-24-24 ,34.106,1.5,4,5,6.1,6.13,Y,[]
191,1016655,한국수력원자력,경안교,경기도 광주시,오포읍 양벌리,127-15-06,37-23-33 ,35.616, , , , , ,N,[]
192,1016660,환경부,광주시(섬뜰교),경기도 광주시,초월읍 도평리 섬뜰교,127-17-34,37-23-57 ,36.123,2.5,4,5,6.4,6.41,N,[]
193,1016670,환경부,광주시(서하교),경기도 광주시,초월읍 서하리 서하교,127-18-30,37-25-44 ,26.762,3.5,4.5,5.5,5.9,5.92,N,[]
194,1016695,환경부,광주시(광동교),경기도 광주시,퇴촌면 광동리 광동교,127-17-39,37-28-16 ,-.057,26,27,27.5,28.3,28.35,N,[]
195,1017678,한국수력원자력,팔당댐,경기도 남양주시,조안면 다산로 320,127-17-05,37-31-30 , , , , , , ,N,[]
196,1017690,환경부,남양주시(팔당댐),경기도 남양주시,조안면 능내리 팔당댐,127-17-00,37-31-38 ,.009, , , , ,24.51,N,[]
197,1018605,환경부,고안(등록문화재),경기도 남양주시 조안면,능내리 825,127-15-00,37-32-30 ,10, ,0,0, , ,N,[]
198,1018610,환경부,남양주시(팔당대교),경기도 남양주시,와부읍 팔당리 팔당대교,127-14-22,37-32-52 ,5.571,7,9,11.5,15.5,15.52,N,[]
199,1018611,환경부,팔당대교,경기도 남양주시 와부읍,팔당리 팔당유원지,127-14-29,37-32-40 ,10.876, , , , , ,N,[]
200,1018620,환경부,남양주시(부평교),경기도 남양주시,진접읍 부평리 부평교,127-11-48,37-44-25 ,56.285,1.5,2.5,3.5,4.8,4.82,N,[]
201,1018623,환경부,남양주시(연평대교),경기도 남양주시,진접읍 연평리 연평대교,127-10-56,37-42-36 ,44.501,1.8,2,2.5,4.2,4.25,N,[]
202,1018625,환경부,남양주시(내곡교),경기도 남양주시,진접읍 내각리 내곡교,127-09-53,37-41-30 ,33.497,2.5,3.5,4.5,6,6.05,N,[]
203,1018628,환경부,행주(등록문화재),경기도 고양시 덕양구 행주내동,78-9,126-48-38,37-35-55 , , , , , , ,N,[]
204,1018630,환경부,남양주시(진관교),경기도 남양주시,퇴계원면 퇴계원리 진관교,127-09-07,37-39-00 ,22.349,.4,2,3,4,4.01,Y,[]
205,1018635,환경부,남양주시(퇴계원리),경기도 남양주시,퇴계원면 퇴계원리 339-6,127-08-17,37-38-42 ,21.486,2,2.5,3,4,4,N,[]
206,1018638,환경부,남양주시(왕숙교),경기도 남양주시 도농동,다산동 왕숙교,127-08-53,37-36-13 ,10.336,4.9,6,8,9.7,9.67,N,[]
207,1018640,환경부,서울시(광진교),서울특별시,광진구 광장동 광진교,127-06-37,37-32-44 ,5.284,3,8,10.5,13.6,13.63,N,[]
208,1018645,환경부,자양,서울특별시 광진구 자양제1동,뚝섬유원지내 ,127-04-41,37-31-27 ,2.492, , , , , ,N,[]
209,1018650,환경부,성남시(궁내교),경기도 성남시,분당구 정자동 궁내교,127-06-30,37-22-12 ,33.094,2,3.5,4,4.2,4.19,N,[]
210,1018655,환경부,서울시(대곡교),서울특별시,강남구 세곡동 대곡교,127-07-21,37-28-08 ,9.555,3.8,5.5,7,8.5,8.46,Y,[]
211,1018658,환경부,서울시(대치교),서울특별시 강남구 대치동,대치교,127-04-28,37-29-54 ,4.464,3,8.5,11,13.5,13.55,N,[]
212,1018660,환경부,청담,서울특별시 강남구,청담취수장,127-03-50,37-31-10 ,2.7, , , , , ,N,[]
213,1018662,환경부,서울시(청담대교),서울특별시,강남구 청담동 청담대교,127-03-46,37-31-23 ,1.747,3,9,11.5,16,16.03,N,[]
214,1018664,환경부,뚝도,서울특별시 성동구 성수1가제1동, ,127-03-00,37-32-00 , , , , , , ,N,[]
215,1018665,환경부,의정부시(신곡교),경기도 의정부시,의정부동 신곡교,127-03-12,37-44-07 ,33.058,2.5,4.5,5.5,7,6.98,N,[]
216,1018669,환경부,서울시(창동교),서울특별시 도봉구 창동,창동교,127-03-15,37-39-10 ,14.618,4.5,5.5,6.5,7.9,7.91,N,[]
217,1018670,환경부,서울시(월계2교),서울특별시,노원구 월계동 월계2교,127-03-00,37-37-27 ,16.359,2,5,6,6.2,6.21,N,[]
218,1018675,환경부,서울시(중랑교),서울특별시,중랑구 중화동 중랑교,127-04-14,37-35-33 ,9.165,2.4,5,6.5,7.9,7.89,Y,[]
219,1018680,환경부,서울시(잠수교),서울특별시,용산구 서빙고동 잠수교,126-59-43,37-31-02 ,-.068,3.9,5.5,6.2,6.5,16.17,N,[]
220,1018683,환경부,서울시(한강대교),서울특별시,동작구 노량진동 한강대교,126-57-24,37-30-52 ,2.07,3.9,8.5,10.5,13.3,13.26,Y,[]
221,1018685,환경부,구용산,서울특별시 용산구,청암동44-1,126-57-00,37-31-00 ,1.282, , , , , ,N,[]
222,1018690,환경부,안양시(충훈1교),경기도 얀양시,만안구 박달동 충훈1교,126-54-11,37-24-17 ,16.85,1,3,4,4.7,4.71,N,[]
223,1018693,환경부,광명시(시흥대교),경기도 광명시,소화동 시흥대교,126-53-36,37-27-08 ,6.369,5,5.5,6.5,8.9,8.9,N,[]
224,1018695,환경부,서울시(너부대교),서울특별시,구로구 천왕동 너부대교,126-50-44,37-28-44 ,7.367,1.5,3,4,4.8,4.76,N,[]
225,1018697,환경부,서울시(오금교),서울특별시,양천구 신정동 오금교,126-52-27,37-30-30 ,2.996,4,7,9,11.1,11.13,Y,[]
226,1019620,환경부,부천시(도두리2교),경기도 부천시,오정구 삼정동 도두리2교,126-45-38,37-31-56 ,3.427,2,2.5,3.5,4.2,4.16,N,[]
227,1019630,환경부,서울시(행주대교),경기도 고양시덕양구 행주외동,행주대교,126-48-53,37-36-11 ,.803,4.5,6.5,8,10.7,10.68,N,[]
228,1019635,한국수자원공사,아라한강갑문(내),경기도 김포시 고촌면,신곡리 193-2번지,126-47-36,37-36-08 , , , , , , ,N,[]
229,1019636,한국수자원공사,아라한강갑실,경기도 김포시 고촌면,신곡리 193-2번지,126-47-36,37-36-08 , , , , , , ,N,[]
230,1019637,한국수자원공사,아라한강갑문(외),경기도 김포시 고촌면,신곡리 193-2번지,126-47-36,37-36-08 , , , , , , ,N,[]
231,1019640,한국수자원공사,굴포천(내), , ,126-45-35,37-31-23 , , , , , , ,N,[]
232,1019645,한국수자원공사,굴현보(상), , ,126-44-44,37-34-05 , , , , , , ,N,[]
233,1019647,한국수자원공사,박촌1교,인천광역시 계양구 박촌동,286-8,126-45-41,37-32-30 , , , , , , ,N,[]
234,1019648,한국수자원공사,계양대교,인천광역시 계양구 귤현동,184-5,126-44-47,37-34-24 , , , , , , ,N,[]
235,1019650,한국수자원공사,굴현교, , ,126-45-08,37-33-58 , , , , , , ,N,[]
236,1019651,한국수자원공사,귤현보(상),인천광역시 계양구 노오지동,120,126-45-32,37-34-28 , , , , , , ,N,[]
237,1019652,한국수자원공사,귤현보(하),인천광역시 계양구 노오지동,119,126-45-34,37-34-28 , , , , , , ,N,[]
238,1019653,한국수자원공사,벌말교,인천광역시 계양구 평동,24,126-46-20,37-35-00 , , , , , , ,N,[]
239,1019655,한국수자원공사,굴현보(하), , ,126-45-09,37-33-58 , , , , , , ,N,[]
240,1019660,한국수자원공사,굴포천(한강), , ,126-46-58,37-35-23 , , , , , , ,N,[]
241,1019667,환경부,고양시(원당교),경기도 고양시 덕양구 원당동,1046-1번지,126-51-57,37-41-06 ,20.803, , , , , ,N,[]
242,1019675,환경부,김포시(전류리),경기도 김포시,하성면 전류리 478,126-39-52,37-41-45 ,-.1,5,5.5,7,8.6,8.61,N,[]
243,1019680,환경부,파주시(교하교),경기도 파주시 하지석동,교하교,126-45-41,37-45-37 ,.922,2.5,5.5,7,8.2,8.18,N,[]
244,1021628,한국수자원공사,철원군(백마교),강원도 철원군 철원읍,산명리 1562-1,127-09-38,38-16-08 ,172.675, , , , , ,N,[]
245,1021630,환경부,철원군(대마리),강원도 철원군 철원읍,대마리 1614,127-09-58,38-16-06 ,180.631, , , , , ,N,[]
246,1021650,환경부,연천군(필승교),경기도 연천군,중면 횡산리 필승교,126-57-39,38-06-40 ,31,1,2,7.5,12,12,N,[]
247,1021660,한국수자원공사,연천군(군남댐),경기도 연천군,군남면 선곡리 606-2,127-00-57,38-06-18 , , , , , , ,N,[]
248,1021670,한국수자원공사,북삼,경기도 연천군 군남면,삼거리 북삼교,127-00-28,38-05-23 , , , , , , ,N,[]
249,1021680,환경부,연천군(임진교),경기도 연천군,군남면 진상리 임진교,127-01-03,38-03-23 ,17.964,6,7,9.5,12.1,12.1,N,[]
250,1022626,환경부,철원군(장수대교),강원도 철원군,김화읍 청양리 장수대교,127-22-28,38-14-46 ,193.338,4,5,6,8.3,8.25,N,[]
251,1022630,환경부,철원군(삼합교),강원도 철원군,갈말읍 정연리 삼합교,127-20-57,38-17-38 ,187.501,3.5,4.5,5.5,7,7.05,N,[]
252,1022631,한국농어촌공사,토교,강원도 철원군 동송읍,양지리 358-1,127-17-20,38-16-20 , , , , , , ,N,[]
253,1022635,환경부,철원군(한탄대교),강원도 철원군 동송읍,장흥리 한탄대교,127-17-57,38-11-13 ,125.072,5,8,9.5,11.8,11.77,N,[]
254,1022638,한국수자원공사,철원군(군탄교),강원도 철원군 갈말읍,군탄리 산 165-3,127-16-48,38-08-25 ,94.495, , , , , ,N,[]
255,1022640,환경부,포천시(용담교),경기도 포천시,영북면 자일리 용담교,127-16-19,38-07-26 ,92.13,3.5,6,8,9.9,9.99,N,[]
256,1022642,한국수자원공사,포천시(대회산교),경기도 포천시 관인면,중리 산 123-7,127-13-14,38-05-24 ,72.088, , , , , ,N,[]
257,1022643,한국수자원공사,포천시(영로대교),경기도 포천시,창수면 운산리 92-1 영로대교,127-12-21,38-03-55 ,62.921, , , , , ,N,[]
258,1022644,한국수자원공사,연천군(한탄강댐),경기도 포천시,창수면 신흥리 산 130-3 한탄강댐,127-07-51,38-03-45 , , , , , , ,N,[]
259,1022645,한국수자원공사,연천군(한여울교),경기도 연천군,연천읍 고문리 545-7 한여울교,127-07-45,38-03-39 , , , , , , ,N,[]
260,1022648,환경부,포천시(은현교),경기도 포천시,영중면 거사리 은현교,127-14-19,38-00-08 ,61.322,3.5,4.5,5.5,6.7,6.69,N,[]
261,1022650,환경부,포천시(영평교),경기도 포천시,영중면 영송리 영평교,127-12-52,38-00-39 ,56.354,2.5,3.5,4.5,5.4,5.43,Y,[]
262,1022655,환경부,포천시(신백의교),경기도 포천시,창수면 고소성리 신백의교,127-08-34,38-01-05 ,44.553,5.5,6.5,8,9.9,9.87,N,[]
263,1022659,한국수자원공사,백의교,경기도 연천군 청산면,백의리 백의교,127-08-17,38-01-23 , , , , , , ,N,[]
264,1022662,환경부,연천군(차탄교),경기도 연천군 연천읍,차탄리 차탄교,127-04-19,38-05-15 ,47.815,3.5,4.5,6.5,7.8,7.82,N,[]
265,1022664,한국수자원공사,궁신교,경기도 연천군 연천읍,현문로 508번길 211,127-06-16,38-02-12 , , , , , , ,N,[]
266,1022665,한국수자원공사,연천군(궁신교),경기도 연천군,청산면 궁평리 궁신교,127-06-14,38-02-10 ,32.734, , , , , ,N,[]
267,1022666,한국수자원공사,연천군(고탄교),경기도 연천군,전곡읍 전곡리 364-5 고탄교,127-04-34,38-01-53 ,62.921, , , , , ,N,[]
268,1022668,환경부,동두천시(송천교),경기도 동두천시 송내동,송천교,127-03-05,37-52-49 ,57.033,2.5,4,5,6,6.05,N,[]
269,1022670,환경부,연천군(신천교),경기도 연천군,청산면 대전리 신천교,127-04-37,37-59-35 ,27.429,3.5,4.5,5.5,6.7,6.65,N,[]
270,1022680,환경부,연천군(사랑교),경기도 연천군,전곡읍 전곡리 사랑교,127-03-21,38-00-32 ,19.806,3.7,7.5,9.5,10.9,9.25,Y,[]
271,1023640,환경부,연천군(삼화교),경기도 연천군,미산면 마전리 삼화교,126-59-00,38-01-31 ,5.374,11.5,12.5,16,19.5,19.51,N,[]
272,1023660,환경부,파주시(비룡대교),경기도 파주시,적성면 가월리 비룡대교,126-55-09,37-59-07 ,7.428,6.9,9.5,11.5,13.6,13.57,Y,[]
273,1023662,환경부,연천군(사미천교),경기도 연천군,장남면 전동리 사미천교,126-52-42,38-00-12 ,6.592,8.5,9.5,12,14.9,14.85,N,[]
274,1023670,환경부,파주시(통일대교),경기도 파주시,문산읍 마정리 통일대교,126-44-30,37-54-16 ,1.302,6,7,8.5,9.4,9.42,N,[]
275,1023680,환경부,파주시(아가메교),경기도 파주시,월롱면 능산리 아가메교,126-47-02,37-49-17 ,2.072,3.5,6,7.5,9,9.02,N,[]
276,1101605,환경부,화성시(화산교),경기도 화성시,송산동 화산교,127-01-13,37-13-04 ,12.231,5,6,7.5,8.3,8.3,N,[]
277,1101609,한국농어촌공사,금광,경기도 안성시 금광면,금광리 175,127-19-44,36-59-51 , , , , , , ,N,[]
278,1101610,환경부,안성시(옥산대교),경기도 안성시,도기동 옥산대교,127-15-01,37-00-05 ,18.667,2,3,3.5,4.4,8.13,N,[]
279,1101615,한국농어촌공사,고삼,경기도 안성시 고삼면,월향리 624-1,127-16-19,37-04-54 , , , , , , ,N,[]
280,1101620,환경부,안성시(건천리),경기도 안성시,공도읍 건천리 2-5,127-10-57,36-58-25 ,8.321,1,4.5,5.5,6.2,6.24,N,[]
281,1101625,한국농어촌공사,이동,경기도 용인시 처인구 이동읍,어비리 1335-1,127-11-04,37-06-37 , , , , , , ,N,[]
282,1101630,환경부,천안시(안성천교),충청남도 천안시,서북구 성환읍 신가리 (구)안성천교,127-06-39,36-58-13 ,3.761,3,4,5,6.1,6.1,N,[]
283,1101635,환경부,평택시(군문교),경기도 평택시,군문동 군문교,127-04-48,36-59-01 ,.129,4.2,6,7,8.4,8.36,Y,[]
284,1101645,환경부,오산시(탑동대교),경기도 오산시,누읍동 탑동대교,127-03-29,37-08-02 ,10.736,1.5,3.5,4,4.2,4.18,N,[]
285,1101650,환경부,화성시(수직교),경기도 화성시,향남면 수직리 수직교,126-59-59,37-07-25 ,4.333,4,5,6,7.4,7.38,N,[]
286,1101663,환경부,평택시(진위1교),경기도 평택시,진위면 하북리 진위1교,127-03-08,37-05-42 ,5.334,2.5,4.5,5.5,7,7.04,N,[]
287,1101665,환경부,평택시(회화리),경기도 평택시,서탄면 회화리 388,127-01-44,37-05-46 ,4.977,3,4.5,5.5,6.7,6.71,N,[]
288,1101670,환경부,평택시(동연교),경기도 평택시,고덕면 동청리 동연교,126-59-51,37-03-09 ,-.283,5,7.5,8.5,10.1,10.09,Y,[]
289,1101675,환경부,궁안교,경기도 평택시 고덕면,관안리 ,127-01-00,37-01-00 ,.717, , , , , ,N,[]
290,1101680,환경부,평택시(팽성대교),경기도 평택시,팽성읍 원정리 팽성대교,127-02-01,36-58-41 ,.296,4,5,6,6.9,6.88,N,[]
291,1101685,한국농어촌공사,아산호,경기도 평택시 오성면,길음리 길음양수장,126-58-33,36-58-05 , , , , , , ,N,[]
292,1101690,환경부,노양,경기도 평택시 ,노양리 ,127-00-00,36-56-00 ,-2.516, , , , , ,N,[]
293,1101695,한국농어촌공사,아산만(내),경기도 평택시,안중읍 안중리 42-60,126-55-41,36-58-48 , , , , , , ,N,[]
294,1101696,한국농어촌공사,아산만(외),경기도 평택시,안중읍 안중리 42-60,126-55-41,36-58-48 , , , , , , ,N,[]
295,1201620,환경부,강화군(강화대교),인천광역시 강화군,강화읍 갑곶리 강화대교,126-31-40,37-43-54 ,.135, ,7.5,9.5, ,10.95,N,[]
296,1201651,한국수자원공사,아라서해갑문(내),인천광역시 서구,경서로 31번길 1,126-36-15,37-33-40 , , , , , , ,N,[]
297,1201652,한국수자원공사,아라서해갑실(남),인천광역시 서구,경서로 31번길 1,126-36-11,37-33-38 , , , , , , ,N,[]
298,1201653,한국수자원공사,아라서해갑문(외),인천광역시 서구,경서로 31번길 1,126-36-5 ,37-33-37 , , , , , , ,N,[]
299,1201654,한국수자원공사,아라서해갑실(북),인천광역시 서구,경서로 31번길 1,126-36-10,37-33-40 , , , , , , ,N,[]
300,1202630,환경부,반월2,경기도 안산시,장상2동,126-52-30,37-20-54 ,35.374, , , , , ,N,[]
301,1202660,환경부,반월1,경기도 안산시상록구 성포동,노적봉공원내,126-51-25,37-19-22 ,10.475, , , , , ,N,[]
302,1202670,한국농어촌공사,남양(외),경기도 평택시 포승면,원정리 ,126-48-00,37-00-02 , , , , , , ,N,[]
303,1202690,한국수자원공사,서해배수문(내), , ,126-34-38,37-17-24 , , , , , , ,N,[]
304,1202695,한국수자원공사,서해배수문(외), , ,126-34-37,37-17-25 , , , , , , ,N,[]
305,1301630,환경부,양양군(용천2교),강원도 양양군 서면,용천리 용천2교,128-36-29,38-03-20 ,6.868,3,4,5,6.1,6.09,N,[]
306,1301658,환경부,양양군(양양대교),강원도 양양군,양양읍 월리 양양대교,128-37-54,38-04-31 ,.502,3,3.5,4.5,5.4,5.41,N,[]
307,1302645,한국농어촌공사,오봉,강원도 강릉시 성산면,오봉리 산115,128-49-11,37-41-56 , , , , , , ,N,[]
308,1302648,환경부,강릉시(회산교),강원도 강릉시,회산동 회산교,128-52-12,37-44-35 ,15.631,2.5,3,3.5,4.8,4.76,N,[]
309,1302663,한국수자원공사,동해시(달방댐),강원도 동해시,달방동 산129,129-02-17,37-30-22 , , , , , , ,N,[]
310,1302665,한국수자원공사,동해시(원평교),강원도 동해시 이로동,138,128-64-05,37-29-39 , , , , , , ,N,[]
311,1302668,환경부,동해시(북평교),강원도 동해시,북평동 북평교,129-07-30,37-29-07 ,.192,1,2.5,3.5,6.3,6.32,N,[]
312,1302670,환경부,강릉시(송림교),강원도 강릉시 연곡면,송림리 송림교,128-48-38,37-50-49 ,3.023,2.5,3.5,4.5,4.9,4.94,N,[]
313,1303610,환경부,삼척시(남양촌교),강원도 삼척시 원덕읍,기곡리 남양촌교,129-15-37,37-08-36 ,49.176, , , , , ,N,[]
314,1303650,환경부,삼척시(상정교),강원도 삼척시 미로면,상정리 상정교,129-05-55,37-22-58 ,43.024,2.5,3.5,4.5,5.4,5.38,N,[]
315,1303680,환경부,삼척시(오십천교),강원도 삼척시,남양동 오십천교,129-10-05,37-26-17 ,-1.75,4,5.5,6.5,8.5,8.45,N,[]
316,2001610,환경부,태백시(문화교),강원도 태백시,장성동 216 (문화교),129-01-02,37-05-45 ,550.39,3.3,4.4,5.2,6.36,6.26,N,[]
317,2001613,한국수자원공사,태백시(루사교),강원도 태백시 동점동,루사교,129-02-40,37-05-36 ,518.78, , , , , ,N,[]
318,2001615,환경부,봉화군(대현교),경상북도 봉화군,석포면 석포리 699-2 (대현교),129-02-39,37-03-50 ,485.47, , , , , ,N,[]
319,2001625,환경부,봉화군(광회교),경상북도 봉화군 소천면,분천리 1939(광회교),129-06-37,36-56-03 ,409.488, , , , , ,N,[]
320,2001628,환경부,봉화군(분천교),경상북도 봉화군,소천면 분천리 2082-1 (분천교),129-03-24,36-55-49 ,317.713,5.9,7.1,8,9.05, ,N,[]
321,2001629,한국수자원공사,봉화군(현동교),경상북도 봉화군 소천면,현동리 현동교,129-00-41,36-55-55 ,284.731, , , , , ,N,[]
322,2001630,한국수자원공사,봉화군(임기리),경상북도 봉화군,소천면 임기리,129-00-04,36-52-60 ,250.079, ,0,0, ,0,N,[]
323,2001650,환경부,봉화,경상북도 봉화군 명호면,풍호리,128-53-30,35-50-30 ,192.324, , , , , ,N,[]
324,2001655,환경부,봉화군(도천교),경상북도 봉화군,명호면 도천리 1378 (도천교),128-54-07,36-51-34 ,197.233,3.3,4.1,4.9,5.66, ,N,[]
325,2001658,한국수자원공사,봉화군(양삼교),경상북도 봉화군,명호면 남애길 73-34,128-53-08,36-46-43 ,173.107, , , , , ,N,[]
326,2001660,한국수자원공사,도산,경상북도 안동시,도산면 가송리,128-53-47,36-45-38 ,169.09, ,0,0, ,0,N,[]
327,2001670,기타,예안,경상북도 안동군,예안면    부표2리,128-51-00,36-41-00 ,0, , , , ,0,N,[]
328,2001675,기타,천전,경상북도 안동군,예안면    천정동,128-50-00,36-41-00 ,0, , , , ,0,N,[]
329,2001680,한국수자원공사,안동시(안동댐방수로),경상북도 안동시,성곡동 안동댐방수로 지점,128-46-16,36-35-04 , , ,0,0, ,0,N,[]
330,2001685,한국수자원공사,안동시(안동댐),경상북도 안동시,성곡동 안동댐취수탑 지점,128-46-30,36-34-58 , , ,0,0, ,0,N,[]
331,2001690,한국수자원공사,안동시(안동조정지댐),경상북도 안동시,법흥동 조정지댐 지점,128-44-57,36-33-59 , , ,0,0, ,0,N,[]
332,2002606,한국수자원공사,보현,경상북도 청송군,현서면 백자리 수락1교,128-57-03,36-13-18 ,346.371, , , , , ,N,[]
333,2002609,한국수자원공사,청송군(성덕댐),경상북도 청송군,안덕면 성덕댐로 1191,128-57-47,36-14-31 ,332, , , , , ,N,[]
334,2002610,한국수자원공사,무계,경상북도 청송군,현서면 백자리 무명교,128-58-29,36-13-02 ,361.519, , , , , ,N,[]
335,2002613,한국수자원공사,포항시(상사4교),경상북도 포항시,죽장면 하사리 상사4교,129-05-19,36-15-13 ,346.747, , , , , ,N,[]
336,2002616,한국수자원공사,청송군(명당리),경상북도 청송군,안덕면 명당3길 29,128-57-25,36-17-07 ,273.83, , , , , ,N,[]
337,2002620,한국수자원공사,영양군(양평교),경상북도 영양군,영양읍 현리,129-06-23,36-39-11 ,209.601, ,0,0, ,0,N,[]
338,2002630,한국수자원공사,청송군(송강2교),경상북도 청송군,파천면 송강리 송강2교,129-01-18,36-29-02 ,157.169, , , , , ,N,[]
339,2002633,한국수자원공사,영양군(임천교),경상북도 영양군,입암면 연당리 임천교,129-04-02,36-36-52 ,190.84, , , , , ,N,[]
340,2002634,환경부,영양군(청암교),경상북도 영양군,입암면 신구리 704 (청암교),129-05-06,36-35-50 ,181.1,5.9,6.7,7.4,8.25,8.26,N,[]
341,2002635,한국수자원공사,영양군(흥구리),경상북도 영양군,입압면 흥구리 378-1천,129-03-57,36-32-44 ,162.953, , , , , ,N,[]
342,2002636,한국수자원공사,홍구,경상북도 영양군 입암면,홍구378-1,129-04-17,36-35-22 ,163.704, , , , , ,N,[]
343,2002638,한국수자원공사,영양군(흥구교),경상북도 영양군 입암면,흥구리 흥구교,129-4-51 ,36-33-7  ,164.938, , , , , ,N,[]
344,2002645,한국수자원공사,청송군(광덕교),경상북도 청송군,진보면 각산리 광덕교,129-02-36,36-32-10 ,158.391, , , , , ,N,[]
345,2002655,한국수자원공사,청송군(덕천교),경상북도 청송군,파천면 덕천리 728-1 덕천교,129-01-49,36-26-34 ,172.45, ,0,0, ,0,N,[]
346,2002675,한국수자원공사,안동시(임하댐방수로),경상북도 안동시,임하면 천전리 1084-7,128-52-48,36-32-16 , , ,0,0, ,0,N,[]
347,2002677,한국수자원공사,안동시(임하댐),경상북도 안동시,임하면 천전리 1084-7,128-53-01,36-32-06 , , ,0,0, ,0,N,[]
